tipo_celular,module_size,GFM1_MM,GFM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.116,21.0,97,3,3.09,2.58 (2.53-2.62),94,96.91,3.07 (2.67-3.48),2.82,4.97
T cells 18,477.0,0.149,42.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.139,56.0,353,25,7.08,1.40 (1.06-1.75),328,92.92,4.14 (3.97-4.32),32.33,6.21
GABA neurons expressing GLU receptors 22,714.0,0.119,13.0,17,3,17.65,2.29 (2.29-2.29),14,82.35,2.31 (1.60-3.03),2.53,3.79
GLU like neurons 17,1316.0,0.183,89.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,289.0,0.196,56.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,70.0,0.156,34.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,385.0,0.082,24.0,275,29,10.55,1.52 (1.17-1.86),246,89.45,4.32 (4.07-4.57),13.53,4.98
oligodendrocytes 20,676.0,0.057,27.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2402.0,0.184,36.0,455,31,6.81,1.67 (1.27-2.06),424,93.19,4.57 (4.40-4.75),20.59,7.98
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,17,6.16,1.68 (1.35-2.02),259,93.84,3.70 (3.48-3.93),13.93,4.53
oligodendrocytes 10,735.0,0.074,32.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14),4.02,8.98
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,104.0,0.234,66.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,409.0,0.101,33.0,235,12,5.11,2.11 (1.69-2.54),223,94.89,4.12 (3.86-4.37),6.55,4.30
astrocytes microglia 23,125.0,0.364,76.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.142,95.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88),9.97,4.96
microglia 1,813.0,0.108,40.0,79,3,3.8,2.65 (2.55-2.76),76,96.2,3.12 (2.70-3.54),2.83,8.10
oligodendrocytes 3,743.0,0.072,36.0,76,2,2.63,2.60 (NA-NA),74,97.37,3.17 (2.77-3.57),1.49,7.44
oligodendrocytes 2,1630.0,0.149,64.0,154,5,3.25,2.58 (2.16-3.00),149,96.75,3.27 (3.00-3.54),3.51,3.60
