tipo_celular,module_size,GRK4_MM,GRK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.109,50.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285.0,0.118,24.0,353,17,4.82,2.46 (1.73-3.19),336,95.18,3.98 (3.80-4.17),22.99,7.31
GABA neurons expressing GLU receptors 22,714.0,0.172,46.0,17,3,17.65,2.27 (1.88-2.67),14,82.35,2.31 (1.60-3.03),1.85,3.93
GLU like neurons 17,1247.0,0.243,93.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31),2.61,3.28
da like neurons 11,265.0,0.085,8.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.045,10.0,169,2,1.18,0.97 (-0.53-2.48),167,98.82,3.52 (3.30-3.73),6.01,5.36
GABA like neurons 14,1300.0,0.189,42.0,306,28,9.15,2.75 (2.28-3.21),278,90.85,5.45 (5.19-5.71),8.01,6.57
astrocytes 8,727.0,0.146,72.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.158,66.0,32,5,15.62,1.29 (0.07-2.50),27,84.38,3.67 (2.81-4.53),3.90,2.36
oligodendrocytes 10,1277.0,0.062,18.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.089,54.0,96,3,3.12,3.38 (2.02-4.73),93,96.88,3.62 (3.16-4.09),1.61,3.87
oligodendrocytes 16,121.0,0.242,70.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.273,28.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,721.0,0.144,36.0,61,2,3.28,4.58 (3.57-5.60),59,96.72,2.91 (2.49-3.32),1.41,6.18
oligodendrocytes 0,2078.0,0.09,10.0,238,6,2.52,2.26 (1.39-3.13),232,97.48,3.68 (3.46-3.90),7.92,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.1,61.0,76,6,7.89,3.51 (2.20-4.82),70,92.11,2.71 (2.38-3.05),2.23,4.93
oligodendrocytes 2,1630.0,0.13,27.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
