tipo_celular,module_size,HACD2_MM,HACD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.092,8.0,71,3,4.23,1.26 (0.15-2.37),68,95.77,2.69 (2.27-3.12),1.99,3.65
T cells 18,610.0,0.171,65.0,98,13,13.27,0.88 (0.51-1.24),85,86.73,3.47 (3.18-3.76),7.54,3.50
astrocytes 5,1141.0,0.144,69.0,166,7,4.22,1.00 (0.43-1.57),159,95.78,3.52 (3.27-3.76),4.67,4.54
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,19,5.38,1.25 (0.82-1.69),334,94.62,4.08 (3.90-4.25),32.01,6.70
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,380.0,0.147,33.0,39,2,5.13,2.67 (0.85-4.49),37,94.87,2.98 (2.40-3.56),2.28,2.59
da like neurons 11,289.0,0.143,34.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.073,17.0,275,14,5.09,0.94 (0.61-1.27),261,94.91,4.17 (3.92-4.42),12.51,5.53
oligodendrocytes 20,298.0,0.159,57.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.137,48.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.187,83.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.14,62.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89),1.63,2.66
oligodendrocytes 10,2107.0,0.062,10.0,358,16,4.47,1.00 (0.63-1.36),342,95.53,4.03 (3.85-4.21),34.04,8.32
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.055,18.0,105,13,12.38,2.10 (1.38-2.81),92,87.62,3.38 (3.03-3.74),4.65,3.88
oligodendrocytes 16,113.0,0.184,55.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74),1.56,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,59.0,0.276,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.142,34.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.139,93.0,238,3,1.26,1.39 (0.07-2.70),235,98.74,3.67 (3.45-3.89),15.43,4.89
microglia 1,1615.0,0.124,70.0,161,16,9.94,1.00 (0.63-1.36),145,90.06,3.56 (3.31-3.82),12.78,4.62
oligodendrocytes 3,1003.0,0.085,38.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.148,69.0,200,3,1.5,1.77 (1.25-2.29),197,98.5,3.66 (3.39-3.92),2.90,3.47
