tipo_celular,module_size,NUP210_MM,NUP210_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.274,76.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,727.0,0.199,87.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.084,8.0,136,1,0.74,4.17 (NA-NA),135,99.26,3.20 (2.93-3.47),1.55,5.01
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,21,5.95,1.93 (1.30-2.56),332,94.05,4.05 (3.87-4.23),29.82,6.69
GABA neurons expressing GLU receptors 22,714.0,0.141,25.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,489.0,0.088,16.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,289.0,0.136,30.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.064,32.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2090.0,0.11,19.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,354.0,0.063,17.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411.0,0.067,35.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,2107.0,0.346,94.0,358,18,5.03,1.90 (1.16-2.64),340,94.97,4.00 (3.81-4.19),30.45,8.36
connective tissue cells 21,145.0,0.324,69.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768.0,0.05,14.0,105,11,10.48,2.11 (1.25-2.98),94,89.52,3.35 (3.00-3.70),5.42,3.81
oligodendrocytes 16,90.0,0.244,66.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.282,27.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.139,39.0,104,8,7.69,1.40 (0.51-2.29),96,92.31,3.00 (2.71-3.28),12.30,4.82
oligodendrocytes 0,1186.0,0.093,3.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,813.0,0.13,64.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52),7.00,7.91
oligodendrocytes 3,1003.0,0.087,41.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.112,6.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
