tipo_celular,module_size,RPL23_MM,RPL23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.394,78.0,98,38,38.78,2.91 (2.22-3.59),60,61.22,3.38 (2.76-4.00),25.65,5.73
T cells 18,506.0,0.304,77.0,225,49,21.78,3.04 (2.62-3.46),176,78.22,3.78 (3.49-4.08),20.93,4.28
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.263,88.0,108,15,13.89,4.44 (3.21-5.67),93,86.11,3.09 (2.63-3.55),25.50,15.77
GABA neurons expressing GLU receptors 22,487.0,0.439,96.0,73,18,24.66,2.82 (2.20-3.44),55,75.34,2.73 (2.26-3.21),12.44,5.66
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.139,33.0,410,66,16.1,3.81 (3.45-4.17),344,83.9,4.33 (4.12-4.55),11.78,6.70
GABA neurons expressing GABA receptors 13,417.0,0.107,11.0,213,70,32.86,2.92 (2.46-3.39),143,67.14,4.13 (3.86-4.39),9.86,9.60
endothelial cells 9,916.0,0.468,89.0,302,24,7.95,3.56 (2.77-4.34),278,92.05,4.01 (3.78-4.25),22.59,9.62
oligodendrocytes 20,938.0,0.197,79.0,169,54,31.95,3.66 (3.26-4.05),115,68.05,3.41 (3.15-3.67),8.59,3.85
GABA like neurons 14,2402.0,0.503,89.0,455,90,19.78,3.40 (2.99-3.82),365,80.22,4.61 (4.42-4.81),16.97,6.83
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.331,93.0,235,34,14.47,4.19 (3.54-4.83),201,85.53,3.78 (3.53-4.02),15.98,6.20
oligodendrocytes 10,483.0,0.362,87.0,129,19,14.73,3.79 (3.36-4.22),110,85.27,3.38 (2.94-3.82),34.33,16.58
connective tissue cells 21,301.0,0.332,39.0,158,36,22.78,3.51 (2.90-4.12),122,77.22,4.49 (4.06-4.93),16.28,4.35
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,158.0,0.423,100.0,30,3,10.0,3.03 (0.90-5.17),27,90.0,2.27 (1.59-2.96),1.72,13.17
da neurons 6,729.0,0.13,38.0,182,25,13.74,2.77 (2.12-3.41),157,86.26,3.73 (3.47-4.00),22.17,6.35
astrocytes microglia 23,137.0,0.288,25.0,188,39,20.74,2.39 (1.94-2.83),149,79.26,5.01 (4.66-5.35),20.57,3.63
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.161,45.0,252,79,31.35,3.44 (2.92-3.95),173,68.65,4.40 (4.14-4.66),15.47,4.89
microglia 1,406.0,0.46,85.0,278,25,8.99,4.57 (3.95-5.20),253,91.01,4.34 (4.05-4.63),22.28,5.20
oligodendrocytes 3,303.0,0.149,55.0,154,19,12.34,4.63 (3.56-5.70),135,87.66,3.51 (3.18-3.83),36.06,8.43
oligodendrocytes 2,526.0,0.266,51.0,213,25,11.74,5.17 (4.28-6.05),188,88.26,3.85 (3.57-4.13),20.19,6.31
