tipo_celular,module_size,CEBPD_MM,CEBPD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.171,33.0,140,11,7.86,2.62 (2.26-2.97),129,92.14,4.73 (4.44-5.01),5.80,3.35
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.397,93.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628.0,0.18,59.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.414,86.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.375,99.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35),5.32,6.12
oligodendrocyte progenitor cells 12,1049.0,0.26,89.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,301.0,0.357,47.0,158,4,2.53,1.03 (0.59-1.47),154,97.47,4.38 (4.02-4.74),7.37,7.06
astrocytes 15,1768.0,0.183,98.0,105,18,17.14,1.44 (1.12-1.76),87,82.86,3.62 (3.27-3.96),7.50,3.25
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,137.0,0.234,11.0,188,18,9.57,1.38 (1.05-1.72),170,90.43,4.80 (4.49-5.12),6.17,7.25
astrocytes 4,208.0,0.575,100.0,173,1,0.58,2.27 (NA-NA),172,99.42,3.81 (3.51-4.11),3.82,5.63
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.219,57.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
