tipo_celular,module_size,PACRG_MM,PACRG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.264,92.0,32,5,15.62,6.33 (5.02-7.64),27,84.38,4.72 (4.29-5.14),2.42,4.05
oligodendrocyte progenitor cells 7,666.0,0.116,14.0,127,6,4.72,2.56 (1.35-3.78),121,95.28,3.86 (3.52-4.20),3.97,5.93
GABA neurons expressing GLU receptors 22,459.0,0.214,71.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41),NA,4.09
GLU like neurons 17,300.0,0.17,33.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,71.0,0.393,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.34,93.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,1300.0,0.324,93.0,306,11,3.59,2.94 (1.75-4.13),295,96.41,5.17 (4.90-5.43),10.49,6.57
astrocytes 8,262.0,0.184,72.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.146,98.0,276,9,3.26,2.02 (1.05-3.00),267,96.74,3.59 (3.37-3.81),8.31,5.00
oligodendrocytes 10,1277.0,0.041,7.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.029,3.0,105,5,4.76,1.34 (0.41-2.26),100,95.24,3.31 (2.98-3.65),5.44,3.91
oligodendrocytes 16,123.0,0.266,83.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.33,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220.0,0.167,53.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,117.0,0.107,19.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.078,44.0,76,2,2.63,6.89 (6.89-6.89),74,97.37,3.05 (2.67-3.42),1.83,7.44
oligodendrocytes 2,1630.0,0.117,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
