tipo_celular,module_size,PRDM5_MM,PRDM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.191,69.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,60,17.0,2.14 (1.87-2.41),293,83.0,4.37 (4.20-4.55),19.13,5.80
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.192,91.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41),2.00,3.06
da like neurons 11,87.0,0.188,25.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.099,26.0,297,2,0.67,3.15 (2.72-3.58),295,99.33,3.68 (3.47-3.88),6.92,5.51
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.221,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.252,97.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.098,72.0,276,44,15.94,2.03 (1.80-2.25),232,84.06,3.94 (3.71-4.18),9.18,4.34
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,111.0,0.225,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.154,92.0,105,20,19.05,1.54 (1.23-1.85),85,80.95,3.62 (3.26-3.97),6.41,3.41
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.328,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.213,99.0,96,17,17.71,2.79 (2.42-3.17),79,82.29,3.43 (3.03-3.83),2.73,4.66
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
