tipo_celular,module_size,MRNIP_MM,MRNIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.06,5.0,84,4,4.76,3.57 (1.94-5.20),80,95.24,2.95 (2.62-3.28),2.81,4.40
astrocytes 5,1656.0,0.093,17.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,55,15.58,2.49 (2.12-2.86),298,84.42,4.23 (4.04-4.42),21.14,5.65
GABA neurons expressing GLU receptors 22,703.0,0.227,75.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,300.0,0.224,79.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,108.0,0.16,34.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.021,4.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,2090.0,0.194,76.0,74,7,9.46,2.92 (1.77-4.08),67,90.54,2.94 (2.54-3.34),2.86,11.30
astrocytes 8,727.0,0.074,28.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,1049.0,0.091,49.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,204.0,0.027,2.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,95.0,0.398,94.0,4,2,50.0,2.81 (2.62-2.99),2,50.0,4.14 (2.13-6.15),1.76,1.67
astrocytes 15,208.0,0.027,6.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,75.0,0.264,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.283,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.14,41.0,104,23,22.12,1.94 (1.49-2.40),81,77.88,3.15 (2.84-3.47),12.13,3.48
oligodendrocytes 0,2078.0,0.082,5.0,238,12,5.04,2.46 (1.92-3.01),226,94.96,3.70 (3.48-3.93),5.88,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.059,15.0,87,31,35.63,2.06 (1.67-2.45),56,64.37,2.89 (2.56-3.23),6.03,3.25
oligodendrocytes 2,1630.0,0.127,23.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52),2.21,3.63
