tipo_celular,module_size,LIMA1_MM,LIMA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.263,87.0,127,13,10.24,3.31 (2.06-4.56),114,89.76,3.90 (3.56-4.25),3.67,6.09
GABA neurons expressing GLU receptors 22,400.0,0.226,67.0,24,5,20.83,1.10 (-0.10-2.31),19,79.17,2.43 (1.93-2.94),7.24,2.62
GLU like neurons 17,1247.0,0.207,86.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,204.0,0.102,19.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.06,6.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,295.0,0.204,56.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2090.0,0.102,15.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,10,3.62,1.90 (1.19-2.60),266,96.38,3.62 (3.39-3.84),4.38,5.14
oligodendrocytes 10,1277.0,0.076,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152.0,0.21,23.0,21,11,52.38,7.21 (6.26-8.17),10,47.62,4.28 (2.71-5.84),2.16,2.29
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.122,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.389,83.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.111,15.0,40,6,15.0,4.46 (4.08-4.84),34,85.0,6.06 (5.51-6.61),2.08,3.71
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.113,64.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,804.0,0.149,48.0,84,7,8.33,2.14 (1.05-3.22),77,91.67,2.75 (2.40-3.10),2.53,3.47
