tipo_celular,module_size,COPZ1_MM,COPZ1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.078,5.0,136,9,6.62,3.76 (3.45-4.07),127,93.38,3.16 (2.87-3.45),3.18,5.12
oligodendrocyte progenitor cells 7,628.0,0.113,13.0,164,11,6.71,3.55 (2.91-4.19),153,93.29,4.14 (3.79-4.49),5.89,7.64
GABA neurons expressing GLU receptors 22,487.0,0.294,75.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.117,23.0,410,27,6.59,3.33 (2.93-3.73),383,93.41,4.34 (4.14-4.54),10.28,7.32
GABA neurons expressing GABA receptors 13,86.0,0.159,42.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,916.0,0.119,20.0,302,10,3.31,2.75 (1.94-3.55),292,96.69,4.04 (3.81-4.27),6.87,10.78
oligodendrocytes 20,228.0,0.315,86.0,5,2,40.0,1.89 (-1.31-5.09),3,60.0,4.16 (1.32-7.01),3.73,1.62
GABA like neurons 14,2402.0,0.208,44.0,455,39,8.57,3.28 (2.79-3.77),416,91.43,4.49 (4.29-4.68),19.21,7.86
astrocytes 8,260.0,0.047,10.0,4,1,25.0,0.26 (NA-NA),3,75.0,2.86 (1.07-4.66),3.04,1.77
oligodendrocyte progenitor cells 12,1049.0,0.06,26.0,235,11,4.68,3.60 (2.99-4.22),224,95.32,3.84 (3.59-4.08),4.63,7.76
oligodendrocytes 10,735.0,0.103,55.0,277,3,1.08,4.67 (4.14-5.20),274,98.92,3.88 (3.64-4.13),1.60,9.03
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.062,25.0,105,14,13.33,2.98 (2.28-3.67),91,86.67,3.25 (2.88-3.63),3.82,4.00
oligodendrocytes 16,158.0,0.397,99.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98),NA,12.02
da neurons 6,729.0,0.078,11.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,47.0,0.331,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.115,9.0,104,15,14.42,3.06 (2.35-3.77),89,85.58,2.83 (2.52-3.13),7.46,5.05
oligodendrocytes 0,2078.0,0.073,2.0,238,11,4.62,3.48 (2.62-4.34),227,95.38,3.65 (3.42-3.87),7.05,4.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.04,2.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.129,25.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
