tipo_celular,module_size,GFAP_MM,GFAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.187,36.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35),1.56,3.37
T cells 18,282,0.171,45.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,328,0.255,79.0,128,1,0.78,2.97 (NA-NA),127,99.22,3.57 (3.23-3.92),16.23,6.69
oligodendrocyte progenitor cells 7,200,0.217,69.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,703,0.144,26.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,685,0.268,88.0,135,17,12.59,2.03 (1.44-2.61),118,87.41,3.39 (3.06-3.72),3.98,3.72
da like neurons 11,408,0.178,52.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,288,0.104,12.0,93,7,7.53,2.39 (1.16-3.63),86,92.47,5.45 (4.97-5.93),3.76,3.96
endothelial cells 9,916,0.307,73.0,302,4,1.32,2.70 (0.34-5.05),298,98.68,4.00 (3.78-4.23),10.47,10.66
oligodendrocytes 20,295,0.144,30.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300,-0.012,,306,13,4.25,2.59 (1.67-3.51),293,95.75,5.26 (5.00-5.52),7.95,6.65
astrocytes 8,603,0.298,97.0,89,6,6.74,1.86 (0.72-3.00),83,93.26,2.84 (2.47-3.20),5.41,6.09
oligodendrocyte progenitor cells 12,1049,0.189,83.0,235,4,1.7,3.77 (3.24-4.29),231,98.3,3.82 (3.59-4.06),7.51,7.62
oligodendrocytes 10,483,0.112,48.0,129,3,2.33,3.49 (2.93-4.06),126,97.67,3.43 (3.02-3.83),12.43,19.35
connective tissue cells 21,106,0.355,84.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401,0.06,26.0,96,13,13.54,3.59 (2.82-4.36),83,86.46,3.62 (3.10-4.13),4.40,3.70
oligodendrocytes 16,155,0.127,4.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50),1.84,1.53
da neurons 6,398,0.063,3.0,138,13,9.42,2.74 (1.75-3.74),125,90.58,5.08 (4.72-5.45),3.70,2.63
astrocytes microglia 23,91,0.529,99.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,208,0.323,84.0,173,7,4.05,4.32 (3.02-5.62),166,95.95,3.77 (3.47-4.08),3.37,5.72
oligodendrocytes 0,116,0.099,18.0,169,6,3.55,5.38 (4.78-5.97),163,96.45,4.23 (3.92-4.54),4.43,6.56
microglia 1,127,0.102,14.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,32,0.176,33.0,81,0,0.0,NA,81,100.0,4.04 (3.74-4.34),NA,7.86
oligodendrocytes 2,99,0.105,6.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
