tipo_celular,module_size,PLS3_MM,PLS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.122,35.0,166,6,3.61,1.61 (0.71-2.50),160,96.39,3.47 (3.22-3.72),3.55,4.59
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.244,74.0,91,21,23.08,2.63 (1.76-3.50),70,76.92,5.24 (4.72-5.76),3.54,2.92
da like neurons 11,209.0,0.098,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.235,64.0,54,9,16.67,5.16 (3.88-6.44),45,83.33,4.78 (4.08-5.48),4.60,5.12
oligodendrocytes 20,253.0,0.131,34.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,354.0,0.043,8.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.068,22.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,93.0,0.341,82.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401.0,0.107,69.0,96,18,18.75,4.37 (3.54-5.19),78,81.25,3.44 (2.92-3.95),4.29,3.68
oligodendrocytes 16,66.0,0.183,25.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.108,26.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,59.0,0.318,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.13,14.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,479.0,0.194,78.0,40,4,10.0,4.03 (3.36-4.70),36,90.0,5.99 (5.47-6.51),1.87,3.65
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.141,78.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,237.0,0.139,13.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
