tipo_celular,module_size,RNF168_MM,RNF168_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.167,27.0,21,13,61.9,1.76 (1.07-2.45),8,38.1,3.30 (2.40-4.20),2.25,1.61
T cells 18,518.0,0.233,88.0,131,9,6.87,3.53 (2.77-4.30),122,93.13,3.04 (2.76-3.33),2.54,4.92
astrocytes 5,1656.0,0.101,27.0,136,14,10.29,3.53 (2.49-4.56),122,89.71,3.17 (2.89-3.45),4.93,5.00
oligodendrocyte progenitor cells 7,4285.0,0.172,94.0,353,108,30.59,2.85 (2.57-3.13),245,69.41,4.47 (4.27-4.67),15.86,4.63
GABA neurons expressing GLU receptors 22,823.0,0.044,0.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1247.0,0.093,20.0,51,1,1.96,4.07 (NA-NA),50,98.04,3.61 (3.02-4.21),1.54,3.27
da like neurons 11,853.0,0.096,24.0,133,54,40.6,2.42 (2.07-2.77),79,59.4,3.94 (3.52-4.36),5.73,3.09
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.095,15.0,141,7,4.96,1.84 (1.18-2.50),134,95.04,3.03 (2.78-3.27),4.47,6.94
oligodendrocytes 20,330.0,0.266,81.0,36,20,55.56,2.22 (1.90-2.54),16,44.44,1.49 (0.83-2.16),2.94,3.36
GABA like neurons 14,2090.0,0.114,22.0,74,16,21.62,2.56 (2.11-3.02),58,78.38,3.07 (2.59-3.54),3.33,12.48
astrocytes 8,354.0,0.144,63.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,81,29.35,2.66 (2.40-2.93),195,70.65,3.99 (3.72-4.26),8.81,3.57
oligodendrocytes 10,2107.0,0.094,26.0,358,118,32.96,2.80 (2.53-3.06),240,67.04,4.58 (4.38-4.79),18.98,4.80
connective tissue cells 21,96.0,0.249,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.057,23.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,121.0,0.314,90.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,86.0,0.291,33.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA,1.66,NA
astrocytes 4,1807.0,0.107,5.0,104,43,41.35,2.38 (2.01-2.74),61,58.65,3.22 (2.84-3.61),8.06,3.52
oligodendrocytes 0,2078.0,0.131,83.0,238,48,20.17,3.51 (3.13-3.90),190,79.83,3.67 (3.41-3.92),5.47,4.91
microglia 1,958.0,0.136,82.0,290,31,10.69,2.81 (2.33-3.29),259,89.31,3.94 (3.70-4.19),4.67,5.04
oligodendrocytes 3,681.0,0.068,23.0,87,63,72.41,2.49 (2.21-2.77),24,27.59,2.91 (2.19-3.64),4.83,2.70
oligodendrocytes 2,1630.0,0.149,65.0,154,11,7.14,3.85 (3.36-4.34),143,92.86,3.21 (2.93-3.49),3.21,3.62
