tipo_celular,module_size,ARHGEF12_MM,ARHGEF12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.139,35.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727,0.18,77.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.128,44.0,166,5,3.01,2.93 (0.80-5.05),161,96.99,3.41 (3.16-3.66),2.25,4.62
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,10,2.83,1.87 (0.62-3.11),343,97.17,3.97 (3.78-4.15),31.42,7.38
GABA neurons expressing GLU receptors 22,714,0.145,28.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316,0.171,84.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,132,0.075,5.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,88,0.249,90.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,586,0.257,59.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,271,0.327,90.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,1300,0.178,36.0,306,22,7.19,3.16 (2.30-4.02),284,92.81,5.30 (5.04-5.56),5.82,6.78
astrocytes 8,1266,0.09,59.0,66,10,15.15,2.40 (1.17-3.63),56,84.85,3.40 (2.98-3.83),3.84,2.79
oligodendrocyte progenitor cells 12,3303,0.141,97.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81),6.61,5.09
oligodendrocytes 10,1277,0.077,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,152,0.245,42.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,377,0.133,36.0,14,1,7.14,0.52 (NA-NA),13,92.86,2.32 (0.98-3.65),2.26,2.47
oligodendrocytes 16,90,0.12,3.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,398,0.095,16.0,138,18,13.04,2.75 (2.00-3.50),120,86.96,5.18 (4.81-5.55),3.35,2.64
astrocytes microglia 23,253,0.276,65.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,255,0.142,26.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186,0.167,84.0,300,8,2.67,3.50 (3.09-3.91),292,97.33,3.80 (3.59-4.01),4.64,4.14
microglia 1,1615,0.137,82.0,161,12,7.45,2.16 (1.06-3.26),149,92.55,3.38 (3.12-3.65),9.62,5.09
oligodendrocytes 3,1003,0.117,70.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.152,76.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
