tipo_celular,module_size,ZNF667_MM,ZNF667_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.092,17.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.105,12.0,353,29,8.22,1.79 (1.54-2.04),324,91.78,4.14 (3.96-4.32),14.55,7.48
GABA neurons expressing GLU receptors 22,1069.0,0.241,91.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.086,14.0,133,32,24.06,2.03 (1.76-2.31),101,75.94,3.74 (3.36-4.11),5.25,3.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.428,94.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.136,37.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,603.0,0.034,5.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,28,10.14,1.71 (1.49-1.92),248,89.86,3.82 (3.60-4.05),6.94,4.90
oligodendrocytes 10,806.0,0.081,18.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.047,9.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71),NA,1.83
oligodendrocytes 16,91.0,0.402,99.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.365,83.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.127,21.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45),6.81,5.14
oligodendrocytes 0,2078.0,0.088,8.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.038,2.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,1630.0,0.123,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
