tipo_celular,module_size,MRAS_MM,MRAS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.418,97.0,98,3,3.06,3.96 (0.84-7.08),95,96.94,4.62 (4.21-5.03),2.46,2.66
oligodendrocyte progenitor cells 7,200.0,0.241,75.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,599.0,0.296,85.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,380.0,0.188,62.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,408.0,0.119,30.0,25,6,24.0,1.35 (0.95-1.76),19,76.0,6.01 (4.72-7.30),2.20,2.30
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.087,9.0,74,2,2.7,3.15 (0.39-5.92),72,97.3,5.56 (5.01-6.11),4.40,3.62
oligodendrocytes 20,322.0,0.229,83.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.11,20.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,279.0,0.327,79.0,78,9,11.54,2.46 (2.05-2.88),69,88.46,4.57 (4.14-4.99),3.58,2.59
oligodendrocyte progenitor cells 12,3303.0,0.124,91.0,276,12,4.35,2.14 (1.52-2.75),264,95.65,3.63 (3.40-3.85),5.53,5.09
oligodendrocytes 10,735.0,0.08,37.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14),1.45,8.97
connective tissue cells 21,106.0,0.266,40.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,418.0,0.635,99.0,54,2,3.7,2.49 (0.14-4.85),52,96.3,3.73 (3.29-4.18),3.64,2.99
oligodendrocytes 16,74.0,0.196,53.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,448.0,0.094,40.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,122.0,0.345,71.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,201.0,0.287,92.0,18,5,27.78,3.99 (1.83-6.14),13,72.22,4.72 (3.75-5.70),2.28,3.41
oligodendrocytes 0,613.0,0.129,36.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.147,69.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.178,98.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
