tipo_celular,module_size,NMNAT3_MM,NMNAT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.115,28.0,166,10,6.02,1.60 (1.03-2.17),156,93.98,3.53 (3.28-3.78),8.18,4.32
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,20,5.67,1.54 (1.07-2.00),333,94.33,4.08 (3.90-4.26),36.79,6.34
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,229.0,0.235,74.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.035,6.0,169,14,8.28,3.32 (2.67-3.97),155,91.72,3.50 (3.27-3.73),3.36,5.54
GABA like neurons 14,2090.0,0.162,56.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38),3.85,10.78
astrocytes 8,354.0,0.134,58.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,14,5.07,2.31 (1.78-2.83),262,94.93,3.63 (3.40-3.86),14.36,4.62
oligodendrocytes 10,2107.0,0.197,68.0,358,18,5.03,1.43 (0.95-1.91),340,94.97,4.04 (3.85-4.22),40.44,7.83
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.062,25.0,105,10,9.52,1.72 (1.19-2.24),95,90.48,3.38 (3.03-3.74),9.20,3.43
oligodendrocytes 16,51.0,0.18,16.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.36,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.138,26.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),1.85,5.81
oligodendrocytes 0,1186.0,0.095,4.0,300,1,0.33,3.78 (NA-NA),299,99.67,3.79 (3.59-4.00),7.31,4.15
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.07,20.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.115,9.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
