tipo_celular,module_size,TAF1C_MM,TAF1C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.103,31.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,34,9.63,1.58 (1.26-1.91),319,90.37,4.22 (4.05-4.39),30.99,5.62
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.089,58.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,26,9.42,1.70 (1.43-1.97),250,90.58,3.80 (3.58-4.02),14.10,4.18
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.231,90.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.315,36.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA),NA,2.04
astrocytes 4,1807.0,0.135,32.0,104,25,24.04,1.58 (1.27-1.89),79,75.96,3.31 (3.01-3.61),11.24,3.55
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
