tipo_celular,module_size,TNIK_MM,TNIK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.081,10.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29),1.61,4.39
astrocytes 5,222.0,0.225,58.0,98,18,18.37,5.17 (4.04-6.30),80,81.63,4.45 (4.03-4.87),3.18,2.53
oligodendrocyte progenitor cells 7,200.0,0.07,6.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,459.0,0.23,75.0,165,21,12.73,2.82 (2.26-3.38),144,87.27,5.49 (5.15-5.82),4.58,4.02
GLU like neurons 17,685.0,0.242,84.0,135,40,29.63,2.52 (2.11-2.92),95,70.37,3.49 (3.10-3.87),4.19,3.56
da like neurons 11,408.0,0.241,64.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67),2.16,2.33
GABA neurons expressing GABA receptors 13,288.0,0.162,45.0,93,38,40.86,4.79 (4.03-5.56),55,59.14,5.49 (4.87-6.11),5.66,2.77
endothelial cells 9,450.0,0.335,73.0,74,19,25.68,6.08 (5.20-6.95),55,74.32,5.11 (4.42-5.80),5.44,3.01
oligodendrocytes 20,233.0,0.191,49.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300.0,0.184,39.0,306,72,23.53,4.17 (3.67-4.67),234,76.47,5.53 (5.25-5.81),10.61,5.51
astrocytes 8,354.0,0.345,99.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,254.0,0.11,19.0,37,15,40.54,3.28 (2.85-3.72),22,59.46,5.63 (4.96-6.31),2.43,2.50
oligodendrocytes 10,2107.0,0.175,61.0,358,50,13.97,2.14 (1.80-2.47),308,86.03,4.26 (4.07-4.45),24.78,6.99
connective tissue cells 21,78.0,0.248,46.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.231,57.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,75.0,0.154,23.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.291,50.0,46,5,10.87,6.21 (5.04-7.38),41,89.13,4.88 (4.27-5.48),2.37,3.31
astrocytes 4,220.0,0.294,98.0,63,25,39.68,4.87 (4.03-5.71),38,60.32,5.39 (4.64-6.14),4.15,2.73
oligodendrocytes 0,309.0,0.247,94.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.229,98.0,111,2,1.8,2.71 (NA-NA),109,98.2,3.31 (2.96-3.65),1.63,4.28
oligodendrocytes 2,348.0,0.268,74.0,114,37,32.46,5.11 (4.44-5.78),77,67.54,5.12 (4.60-5.64),7.07,3.11
