tipo_celular,module_size,PRRC1_MM,PRRC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.102,14.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,4,1.13,0.93 (0.21-1.65),349,98.87,3.93 (3.75-4.12),34.41,7.76
GABA neurons expressing GLU receptors 22,848.0,0.114,10.0,262,1,0.38,0.55 (NA-NA),261,99.62,4.18 (3.93-4.42),6.08,4.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.059,3.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676.0,0.06,28.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.179,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.079,51.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78),11.02,5.07
oligodendrocytes 10,483.0,0.084,34.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,92.0,0.358,81.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.065,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,43.0,0.569,98.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.111,44.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.068,24.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.152,71.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
