tipo_celular,module_size,PCSK2_MM,PCSK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,24,6.8,1.57 (1.14-2.00),329,93.2,4.11 (3.94-4.29),37.18,5.94
GABA neurons expressing GLU receptors 22,823.0,0.311,97.0,23,2,8.7,2.11 (-0.05-4.28),21,91.3,2.43 (1.64-3.22),2.27,3.53
GLU like neurons 17,795.0,0.155,63.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,191.0,0.139,23.0,93,5,5.38,3.22 (1.80-4.63),88,94.62,5.80 (5.40-6.19),5.06,4.08
GABA neurons expressing GABA receptors 13,357.0,0.39,97.0,237,2,0.84,3.83 (1.64-6.02),235,99.16,4.41 (4.18-4.65),4.34,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.135,18.0,306,9,2.94,2.38 (1.29-3.47),297,97.06,5.20 (4.94-5.46),12.65,6.53
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,18,6.52,1.96 (1.52-2.40),258,93.48,3.69 (3.47-3.91),18.03,4.21
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.104,22.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
