tipo_celular,module_size,SHC2_MM,SHC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.084,13.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,7,1.98,1.24 (0.21-2.27),346,98.02,3.95 (3.76-4.13),28.40,7.65
GABA neurons expressing GLU receptors 22,1069.0,0.104,11.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.118,40.0,133,2,1.5,1.86 (-1.39-5.11),131,98.5,3.28 (2.97-3.59),5.06,4.15
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.196,48.0,120,10,8.33,3.01 (2.14-3.89),110,91.67,4.78 (4.46-5.09),5.31,3.50
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.196,77.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.079,47.0,66,4,6.06,1.43 (0.01-2.84),62,93.94,3.36 (2.94-3.78),4.61,2.85
oligodendrocyte progenitor cells 12,411.0,0.067,35.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,116.0,0.298,60.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1768.0,0.057,20.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62),5.54,3.93
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.375,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.132,27.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20),6.57,5.36
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
