tipo_celular,module_size,TRIB2_MM,TRIB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.15,48.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.133,27.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,1069.0,0.135,27.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.249,58.0,62,5,8.06,2.90 (2.44-3.36),57,91.94,4.12 (3.65-4.58),2.24,4.38
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.086,44.0,103,3,2.91,2.90 (2.44-3.36),100,97.09,5.65 (5.27-6.03),3.30,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,95.0,0.289,56.0,4,1,25.0,2.71 (NA-NA),3,75.0,3.73 (2.31-5.14),1.38,1.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.4,86.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
