tipo_celular,module_size,APC2_MM,APC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.111,52.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,4285.0,0.082,3.0,353,44,12.46,2.34 (1.93-2.75),309,87.54,4.19 (4.00-4.37),20.22,6.33
GABA neurons expressing GLU receptors 22,1069.0,0.144,36.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,1316.0,0.079,12.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39),5.33,3.03
da like neurons 11,853.0,0.147,61.0,133,20,15.04,1.86 (1.27-2.46),113,84.96,3.55 (3.22-3.88),5.27,3.97
GABA neurons expressing GABA receptors 13,238.0,0.163,51.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.117,15.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,2090.0,0.159,54.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34),2.12,10.61
astrocytes 8,1266.0,0.169,91.0,66,22,33.33,2.35 (1.70-3.01),44,66.67,3.77 (3.31-4.24),3.37,2.75
oligodendrocyte progenitor cells 12,254.0,0.03,3.0,37,19,51.35,3.76 (3.13-4.40),18,48.65,5.51 (4.71-6.32),2.52,2.42
oligodendrocytes 10,806.0,0.157,50.0,261,26,9.96,4.51 (3.83-5.20),235,90.04,4.35 (4.09-4.61),4.94,6.19
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.14,86.0,96,14,14.58,3.54 (2.64-4.43),82,85.42,3.63 (3.12-4.14),4.62,3.66
oligodendrocytes 16,65.0,0.201,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.165,72.0,124,12,9.68,4.90 (3.17-6.64),112,90.32,4.12 (3.72-4.52),2.57,3.08
astrocytes microglia 23,190.0,0.361,94.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,251.0,0.256,91.0,34,4,11.76,3.39 (2.22-4.56),30,88.24,5.60 (5.01-6.19),2.33,3.17
oligodendrocytes 0,2078.0,0.085,6.0,238,8,3.36,3.07 (2.02-4.11),230,96.64,3.66 (3.43-3.89),4.77,5.03
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.053,11.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.111,5.0,175,8,4.57,3.78 (1.91-5.65),167,95.43,4.42 (4.06-4.77),2.91,4.70
