tipo_celular,module_size,XRCC6_MM,XRCC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.202,45.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,506,0.145,34.0,225,48,21.33,3.02 (2.64-3.40),177,78.67,3.81 (3.51-4.11),5.43,8.57
astrocytes 5,423,0.203,77.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,628,0.187,63.0,164,7,4.27,3.36 (2.12-4.59),157,95.73,4.12 (3.78-4.45),4.15,7.68
GABA neurons expressing GLU receptors 22,848,0.233,59.0,262,34,12.98,2.75 (2.14-3.37),228,87.02,4.35 (4.09-4.60),5.59,3.88
GLU like neurons 17,685,0.122,44.0,135,46,34.07,2.21 (1.91-2.51),89,65.93,3.76 (3.37-4.16),3.65,3.80
da like neurons 11,1220,0.192,54.0,410,25,6.1,2.68 (2.11-3.25),385,93.9,4.33 (4.14-4.52),11.34,7.27
GABA neurons expressing GABA receptors 13,265,0.15,44.0,78,4,5.13,3.18 (3.18-3.18),74,94.87,4.40 (3.97-4.82),3.65,4.30
endothelial cells 9,916,0.144,29.0,302,12,3.97,2.10 (1.03-3.18),290,96.03,4.03 (3.81-4.26),5.68,10.86
oligodendrocytes 20,298,0.122,45.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.273,60.0,455,49,10.77,2.17 (1.73-2.62),406,89.23,4.63 (4.45-4.81),16.59,7.90
astrocytes 8,577,0.15,81.0,83,8,9.64,2.82 (1.84-3.79),75,90.36,3.31 (2.82-3.80),2.56,4.68
oligodendrocyte progenitor cells 12,3303,0.035,4.0,276,65,23.55,2.33 (2.10-2.55),211,76.45,4.09 (3.83-4.34),9.14,3.87
oligodendrocytes 10,735,0.263,96.0,277,6,2.17,4.81 (NA-NA),271,97.83,3.89 (3.65-4.13),2.80,9.08
connective tissue cells 21,142,0.37,81.0,55,13,23.64,2.46 (1.47-3.46),42,76.36,4.13 (2.96-5.30),2.37,3.57
astrocytes 15,1768,0.018,1.0,105,32,30.48,2.08 (1.65-2.52),73,69.52,3.74 (3.35-4.13),6.00,3.09
oligodendrocytes 16,113,0.212,52.0,10,3,30.0,2.55 (1.82-3.29),7,70.0,3.11 (1.98-4.23),2.85,1.47
da neurons 6,409,0.244,86.0,235,19,8.09,2.51 (1.68-3.33),216,91.91,4.08 (3.82-4.33),5.94,4.28
astrocytes microglia 23,327,0.496,91.0,120,50,41.67,2.84 (2.44-3.24),70,58.33,4.23 (3.86-4.59),2.80,2.79
astrocytes 4,514,0.285,83.0,95,6,6.32,1.95 (0.62-3.28),89,93.68,3.50 (3.07-3.93),2.88,4.76
oligodendrocytes 0,613,0.141,49.0,127,20,15.75,2.36 (1.96-2.75),107,84.25,3.28 (2.76-3.81),3.36,6.82
microglia 1,214,0.114,17.0,227,11,4.85,3.12 (1.87-4.38),216,95.15,4.11 (3.88-4.35),7.92,6.03
oligodendrocytes 3,457,0.101,41.0,345,30,8.7,3.51 (2.96-4.06),315,91.3,4.33 (4.11-4.55),6.76,5.59
oligodendrocytes 2,528,0.225,63.0,175,21,12.0,3.17 (2.32-4.02),154,88.0,4.48 (4.12-4.85),5.91,4.44
