tipo_celular,module_size,EIF2D_MM,EIF2D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,51,14.45,2.28 (1.89-2.67),302,85.55,4.24 (4.06-4.42),23.35,5.48
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.089,32.0,169,26,15.38,3.00 (2.55-3.45),143,84.62,3.59 (3.35-3.84),9.66,4.58
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.03,3.0,276,30,10.87,2.15 (1.77-2.53),246,89.13,3.77 (3.54-4.00),14.21,4.00
oligodendrocytes 10,483.0,0.079,30.0,129,17,13.18,3.62 (3.20-4.05),112,86.82,3.39 (2.92-3.85),29.13,17.68
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,87.0,0.159,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,114.0,0.311,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.103,26.0,238,8,3.36,2.95 (1.81-4.08),230,96.64,3.66 (3.44-3.89),8.01,4.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.037,2.0,87,21,24.14,1.63 (1.22-2.05),66,75.86,2.90 (2.60-3.19),6.86,3.41
oligodendrocytes 2,1630.0,0.143,52.0,154,10,6.49,4.74 (3.25-6.23),144,93.51,3.14 (2.88-3.39),2.23,3.69
