tipo_celular,module_size,NCBP1_MM,NCBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.272,86.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,282.0,0.221,78.0,12,4,33.33,5.36 (4.86-5.86),8,66.67,2.27 (1.19-3.35),2.52,6.80
astrocytes 5,1656.0,0.131,75.0,136,17,12.5,3.18 (2.34-4.02),119,87.5,3.21 (2.93-3.50),5.36,4.94
oligodendrocyte progenitor cells 7,4285.0,0.144,65.0,353,111,31.44,3.11 (2.80-3.41),242,68.56,4.41 (4.21-4.61),14.69,5.03
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.175,37.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.038,12.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,3052.0,0.2,92.0,125,9,7.2,5.66 (4.82-6.50),116,92.8,3.12 (2.81-3.43),2.07,9.12
astrocytes 8,727.0,0.064,20.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,153.0,0.021,1.0,27,2,7.41,2.18 (-0.23-4.59),25,92.59,5.23 (4.36-6.10),1.55,2.20
oligodendrocytes 10,483.0,0.067,20.0,129,10,7.75,4.47 (3.65-5.29),119,92.25,3.31 (2.89-3.73),19.05,19.20
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.121,79.0,105,46,43.81,2.82 (2.32-3.32),59,56.19,3.55 (3.12-3.98),5.33,2.92
oligodendrocytes 16,155.0,0.232,60.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.322,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.167,87.0,104,38,36.54,2.31 (1.90-2.73),66,63.46,3.22 (2.87-3.57),8.60,3.56
oligodendrocytes 0,2078.0,0.097,18.0,238,39,16.39,4.09 (3.57-4.62),199,83.61,3.53 (3.28-3.77),5.08,5.01
microglia 1,958.0,0.115,57.0,290,63,21.72,4.33 (3.86-4.81),227,78.28,3.62 (3.37-3.88),6.03,4.72
oligodendrocytes 3,743.0,0.083,53.0,76,5,6.58,5.20 (2.84-7.55),71,93.42,3.03 (2.66-3.41),2.38,7.63
oligodendrocytes 2,1630.0,0.151,69.0,154,9,5.84,3.88 (3.11-4.66),145,94.16,3.20 (2.92-3.48),3.94,3.57
