tipo_celular,module_size,USP36_MM,USP36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.435,97.0,102,41,40.2,2.90 (2.44-3.36),61,59.8,3.94 (3.43-4.44),3.93,2.43
T cells 18,518.0,0.272,94.0,131,2,1.53,3.43 (1.11-5.76),129,98.47,3.07 (2.79-3.35),2.99,4.78
astrocytes 5,423.0,0.209,78.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,79,22.38,2.62 (2.27-2.98),274,77.62,4.36 (4.18-4.54),18.63,5.02
GABA neurons expressing GLU receptors 22,1069.0,0.135,26.0,37,4,10.81,2.11 (1.58-2.64),33,89.19,2.16 (1.65-2.68),2.58,3.16
GLU like neurons 17,489.0,0.154,58.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853.0,0.142,59.0,133,45,33.83,2.05 (1.73-2.37),88,66.17,4.02 (3.65-4.39),5.43,3.52
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.144,34.0,141,7,4.96,3.79 (1.66-5.91),134,95.04,2.91 (2.69-3.14),4.47,6.94
oligodendrocytes 20,295.0,0.219,63.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71),1.88,3.16
GABA like neurons 14,2090.0,0.261,95.0,74,12,16.22,2.23 (1.77-2.69),62,83.78,3.07 (2.64-3.50),3.55,11.84
astrocytes 8,577.0,0.179,88.0,83,7,8.43,2.22 (1.54-2.89),76,91.57,3.35 (2.87-3.83),2.47,4.66
oligodendrocyte progenitor cells 12,708.0,0.115,54.0,32,15,46.88,1.99 (1.27-2.70),17,53.12,4.50 (3.38-5.63),3.09,2.16
oligodendrocytes 10,2107.0,0.124,40.0,358,85,23.74,2.63 (2.26-3.00),273,76.26,4.38 (4.20-4.56),21.21,5.82
connective tissue cells 21,110.0,0.311,75.0,13,8,61.54,3.31 (2.56-4.06),5,38.46,2.80 (0.90-4.71),1.76,1.61
astrocytes 15,1401.0,0.119,76.0,96,12,12.5,3.13 (2.11-4.14),84,87.5,3.70 (3.20-4.20),3.75,3.80
oligodendrocytes 16,86.0,0.203,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.507,91.0,120,23,19.17,2.46 (1.84-3.08),97,80.83,3.96 (3.66-4.27),3.79,2.56
astrocytes 4,514.0,0.313,88.0,95,7,7.37,2.92 (0.69-5.15),88,92.63,3.41 (2.99-3.83),2.53,4.81
oligodendrocytes 0,2078.0,0.109,39.0,238,29,12.18,3.83 (3.11-4.56),209,87.82,3.61 (3.38-3.84),6.88,4.76
microglia 1,480.0,0.425,98.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,357.0,0.116,64.0,127,5,3.94,4.00 (3.21-4.79),122,96.06,3.08 (2.74-3.43),7.61,4.10
oligodendrocytes 2,1630.0,0.132,30.0,154,6,3.9,5.22 (4.15-6.29),148,96.1,3.18 (2.92-3.45),2.42,3.64
