tipo_celular,module_size,BMP1_MM,BMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.097,22.0,136,5,3.68,1.93 (1.13-2.73),131,96.32,3.26 (2.99-3.54),6.65,4.92
oligodendrocyte progenitor cells 7,4285.0,0.092,5.0,353,15,4.25,1.62 (1.16-2.09),338,95.75,4.02 (3.84-4.20),18.65,7.59
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,727.0,0.076,28.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.107,49.0,32,2,6.25,1.74 (1.73-1.75),30,93.75,3.36 (2.51-4.22),3.00,2.57
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,142.0,0.173,1.0,55,6,10.91,2.89 (1.56-4.23),49,89.09,3.56 (2.55-4.57),2.94,3.33
astrocytes 15,1401.0,0.074,39.0,96,2,2.08,3.56 (0.08-7.04),94,97.92,3.61 (3.16-4.07),2.30,3.83
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,114.0,0.502,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.113,7.0,104,12,11.54,1.45 (0.96-1.93),92,88.46,3.06 (2.77-3.35),9.11,4.91
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
