tipo_celular,module_size,ATIC_MM,ATIC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.15,94.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51),8.76,4.93
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,15,4.25,1.35 (0.84-1.86),338,95.75,4.04 (3.86-4.22),32.95,6.96
GABA neurons expressing GLU receptors 22,714.0,0.195,57.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,59.0,0.251,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.249,68.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.154,63.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,603.0,0.065,41.0,89,3,3.37,1.03 (0.73-1.32),86,96.63,2.84 (2.49-3.20),6.64,6.02
oligodendrocyte progenitor cells 12,3303.0,0.053,18.0,276,13,4.71,2.03 (1.36-2.71),263,95.29,3.62 (3.40-3.85),9.97,4.87
oligodendrocytes 10,735.0,0.047,11.0,277,17,6.14,3.91 (3.84-3.99),260,93.86,3.89 (3.63-4.16),4.50,9.24
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.085,49.0,105,8,7.62,1.37 (0.74-2.01),97,92.38,3.38 (3.04-3.72),6.32,3.79
oligodendrocytes 16,74.0,0.083,0.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,518.0,0.095,33.0,122,14,11.48,1.58 (0.81-2.35),108,88.52,4.25 (3.86-4.64),3.28,3.51
astrocytes microglia 23,78.0,0.392,82.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,1807.0,0.186,99.0,104,10,9.62,1.46 (0.93-1.98),94,90.38,3.03 (2.74-3.31),9.07,5.01
oligodendrocytes 0,2078.0,0.133,86.0,238,4,1.68,1.71 (0.59-2.83),234,98.32,3.68 (3.45-3.90),12.98,4.89
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.073,39.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.154,75.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51),1.89,3.60
