tipo_celular,module_size,OSBPL5_MM,OSBPL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.343,91.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,48.0,353,20,5.67,2.20 (1.29-3.12),333,94.33,4.02 (3.84-4.20),30.16,6.74
GABA neurons expressing GLU receptors 22,823.0,0.113,13.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.143,57.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.15,63.0,133,12,9.02,1.59 (0.74-2.44),121,90.98,3.45 (3.14-3.77),5.47,4.03
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.126,32.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,228.0,0.031,6.0,5,2,40.0,1.89 (-1.31-5.09),3,60.0,4.16 (1.32-7.01),3.73,1.62
GABA like neurons 14,2090.0,0.136,37.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.138,96.0,276,15,5.43,2.99 (2.08-3.91),261,94.57,3.58 (3.36-3.81),7.93,4.95
oligodendrocytes 10,1277.0,0.048,11.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,92.0,0.243,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,61.0,0.223,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.348,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,479.0,0.108,13.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.065,19.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17),3.11,4.76
oligodendrocytes 2,1630.0,0.124,18.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
