tipo_celular,module_size,POGLUT1_MM,POGLUT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.197,68.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,518.0,0.172,62.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,21,5.95,1.49 (1.07-1.90),332,94.05,4.09 (3.91-4.27),37.04,6.23
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.172,85.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,289.0,0.112,20.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.202,55.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052.0,0.175,79.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.113,85.0,276,16,5.8,1.83 (1.45-2.20),260,94.2,3.68 (3.46-3.91),14.30,4.54
oligodendrocytes 10,2107.0,0.043,4.0,358,26,7.26,1.42 (1.06-1.78),332,92.74,4.11 (3.93-4.30),30.87,7.80
connective tissue cells 21,78.0,0.23,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,87.0,0.16,35.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.319,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.087,8.0,238,5,2.1,2.31 (1.26-3.36),233,97.9,3.67 (3.45-3.89),8.71,4.94
microglia 1,813.0,0.113,47.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,1003.0,0.046,4.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.132,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
