tipo_celular,module_size,AP1S2_MM,AP1S2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.125,24.0,32,2,6.25,3.72 (0.81-6.64),30,93.75,3.72 (2.90-4.55),2.31,3.70
T cells 18,610.0,0.101,15.0,98,14,14.29,1.69 (0.89-2.48),84,85.71,3.39 (3.08-3.70),7.73,3.42
astrocytes 5,1141.0,0.133,52.0,166,6,3.61,1.81 (0.57-3.05),160,96.39,3.46 (3.21-3.71),5.25,4.52
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,1316.0,0.1,28.0,101,3,2.97,3.17 (2.85-3.49),98,97.03,3.05 (2.68-3.41),2.19,3.08
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.21,76.0,213,23,10.8,2.22 (1.56-2.88),190,89.2,4.01 (3.77-4.25),6.57,10.06
endothelial cells 9,559.0,0.154,48.0,155,4,2.58,5.48 (5.18-5.79),151,97.42,4.29 (3.92-4.67),1.79,4.40
oligodendrocytes 20,348.0,0.203,75.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2402.0,0.442,83.0,455,42,9.23,3.32 (2.82-3.82),413,90.77,4.49 (4.30-4.69),16.70,8.04
astrocytes 8,727.0,0.073,27.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.029,2.0,261,23,8.81,3.26 (2.83-3.68),238,91.19,4.51 (4.25-4.77),9.09,5.77
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.161,91.0,96,4,4.17,2.73 (1.93-3.53),92,95.83,3.66 (3.19-4.13),2.78,3.84
oligodendrocytes 16,64.0,0.215,62.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.245,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.155,38.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,2078.0,0.096,17.0,238,10,4.2,3.20 (2.30-4.10),228,95.8,3.66 (3.43-3.89),4.31,5.05
microglia 1,346.0,0.144,48.0,43,6,13.95,3.93 (3.49-4.36),37,86.05,3.74 (3.14-4.34),3.03,4.72
oligodendrocytes 3,854.0,0.114,75.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921.0,0.099,6.0,200,7,3.5,2.79 (2.09-3.48),193,96.5,3.66 (3.38-3.93),2.32,3.50
