tipo_celular,module_size,ARHGEF40_MM,ARHGEF40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.153,50.0,71,2,2.82,0.97 (-0.53-2.48),69,97.18,2.68 (2.26-3.09),1.65,3.63
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.102,29.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,8,2.27,2.34 (0.93-3.75),345,97.73,3.94 (3.75-4.12),24.81,7.68
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.164,57.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.056,30.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78),2.20,5.13
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,73.0,0.293,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.04,8.0,96,3,3.12,4.15 (4.09-4.22),93,96.88,3.59 (3.13-4.06),3.06,3.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.34,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.155,69.0,104,1,0.96,0.21 (NA-NA),103,99.04,2.89 (2.61-3.17),12.93,5.32
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.124,70.0,161,8,4.97,2.81 (1.39-4.24),153,95.03,3.30 (3.03-3.57),8.87,5.25
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
