tipo_celular,module_size,POLDIP3_MM,POLDIP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.237,88.0,12,3,25.0,5.51 (4.93-6.09),9,75.0,2.57 (1.45-3.68),2.84,6.22
astrocytes 5,1656.0,0.107,36.0,136,7,5.15,2.01 (0.98-3.03),129,94.85,3.28 (3.01-3.56),6.84,4.89
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,59,16.71,2.77 (2.26-3.29),294,83.29,4.17 (3.99-4.34),20.78,5.51
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.045,1.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,938.0,0.03,4.0,169,9,5.33,2.38 (1.34-3.42),160,94.67,3.56 (3.34-3.78),6.14,5.32
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.037,4.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,1049.0,0.097,53.0,235,3,1.28,4.73 (2.75-6.70),232,98.72,3.81 (3.57-4.04),12.64,7.55
oligodendrocytes 10,483.0,0.035,4.0,129,4,3.1,5.04 (2.72-7.37),125,96.9,3.36 (2.97-3.75),15.95,19.29
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.079,44.0,105,27,25.71,2.12 (1.58-2.66),78,74.29,3.55 (3.18-3.93),6.15,3.23
oligodendrocytes 16,113.0,0.24,70.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.334,58.0,3,0,0.0,NA,3,100.0,NA,NA,1.30
astrocytes 4,1807.0,0.116,9.0,104,24,23.08,1.88 (1.38-2.39),80,76.92,3.15 (2.85-3.46),11.37,3.61
oligodendrocytes 0,613.0,0.134,42.0,127,22,17.32,3.39 (2.53-4.24),105,82.68,2.95 (2.48-3.43),3.69,6.82
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.074,30.0,87,28,32.18,1.81 (1.50-2.13),59,67.82,2.98 (2.64-3.31),5.98,3.42
oligodendrocytes 2,1630.0,0.147,61.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52),2.60,3.61
