tipo_celular,module_size,PRKD1_MM,PRKD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.157,29.0,98,13,13.27,4.44 (3.24-5.64),85,86.73,4.63 (4.20-5.06),2.82,2.62
oligodendrocyte progenitor cells 7,436.0,0.084,20.0,219,28,12.79,4.97 (4.37-5.57),191,87.21,5.27 (4.94-5.59),6.16,4.38
GABA neurons expressing GLU receptors 22,714.0,0.328,95.0,17,3,17.65,2.27 (1.88-2.67),14,82.35,2.31 (1.60-3.03),1.85,3.93
GLU like neurons 17,685.0,0.28,89.0,135,39,28.89,2.46 (2.10-2.81),96,71.11,3.56 (3.16-3.95),3.59,3.81
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.193,87.0,297,7,2.36,3.70 (2.38-5.01),290,97.64,3.67 (3.47-3.88),4.46,5.54
oligodendrocytes 20,403.0,0.111,47.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,3052.0,0.142,53.0,125,3,2.4,3.00 (NA-NA),122,97.6,3.36 (3.03-3.68),2.77,8.76
astrocytes 8,279.0,0.382,98.0,78,27,34.62,3.23 (2.76-3.69),51,65.38,5.00 (4.50-5.51),2.96,2.58
oligodendrocyte progenitor cells 12,254.0,0.196,31.0,37,16,43.24,3.34 (2.92-3.76),21,56.76,5.73 (5.04-6.42),2.39,2.54
oligodendrocytes 10,1277.0,0.177,84.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,126.0,0.22,15.0,7,4,57.14,1.36 (0.78-1.94),3,42.86,1.65 (-0.44-3.74),1.98,1.75
astrocytes 15,208.0,0.333,68.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA),2.86,2.77
oligodendrocytes 16,65.0,0.158,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.306,58.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,220.0,0.124,23.0,63,23,36.51,4.23 (3.54-4.92),40,63.49,5.96 (5.22-6.70),4.09,2.83
oligodendrocytes 0,1186.0,0.164,81.0,300,34,11.33,3.94 (3.48-4.41),266,88.67,3.77 (3.55-4.00),4.46,4.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.187,93.0,111,2,1.8,3.78 (1.69-5.87),109,98.2,3.29 (2.94-3.64),2.55,4.26
oligodendrocytes 2,921.0,0.109,11.0,200,12,6.0,2.88 (2.21-3.56),188,94.0,3.68 (3.40-3.96),2.98,3.49
