tipo_celular,module_size,CBWD5_MM,CBWD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.254,69.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610.0,0.106,17.0,98,13,13.27,0.86 (0.54-1.17),85,86.73,3.51 (3.23-3.79),8.14,3.41
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.185,99.0,353,18,5.1,1.02 (0.72-1.32),335,94.9,4.09 (3.92-4.27),36.57,6.53
GABA neurons expressing GLU receptors 22,703.0,0.261,87.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,795.0,0.224,82.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,94.0,0.217,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.225,83.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052.0,0.182,84.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.097,53.0,235,1,0.43,4.95 (NA-NA),234,99.57,3.82 (3.58-4.05),3.95,7.63
oligodendrocytes 10,2107.0,0.214,73.0,358,18,5.03,1.02 (0.72-1.32),340,94.97,4.07 (3.89-4.25),36.16,8.06
connective tissue cells 21,82.0,0.159,4.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,82.0,0.159,34.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.345,66.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.111,43.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,813.0,0.164,84.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.102,63.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.157,80.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
