tipo_celular,module_size,SERPINE2_MM,SERPINE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.225,55.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,628.0,0.217,75.0,164,12,7.32,5.11 (3.94-6.29),152,92.68,3.99 (3.65-4.33),3.24,7.86
GABA neurons expressing GLU receptors 22,487.0,0.253,64.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,59.0,0.086,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.064,2.0,455,29,6.37,2.26 (1.57-2.95),426,93.63,4.51 (4.33-4.69),22.50,7.90
astrocytes 8,279.0,0.325,77.0,78,14,17.95,2.85 (2.34-3.36),64,82.05,4.70 (4.25-5.15),2.98,2.65
oligodendrocyte progenitor cells 12,153.0,0.495,87.0,27,3,11.11,3.50 (0.93-6.07),24,88.89,5.13 (4.12-6.15),4.00,1.92
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.291,60.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA),2.86,2.77
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.153,84.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80),3.42,3.48
astrocytes microglia 23,67.0,0.175,2.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.087,2.0,95,5,5.26,1.90 (0.36-3.44),90,94.74,3.48 (3.05-3.91),3.70,4.69
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
