tipo_celular,module_size,DHFR_MM,DHFR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.221,72.0,73,1,1.37,4.52 (NA-NA),72,98.63,3.55 (3.20-3.90),2.21,3.23
T cells 18,506,0.151,36.0,225,18,8.0,2.37 (1.82-2.93),207,92.0,3.75 (3.49-4.02),8.35,7.86
astrocytes 5,228,0.146,34.0,266,21,7.89,2.91 (1.99-3.84),245,92.11,4.25 (4.05-4.45),3.67,5.09
oligodendrocyte progenitor cells 7,448,0.154,60.0,108,1,0.93,2.76 (NA-NA),107,99.07,3.26 (2.82-3.70),24.79,17.05
GABA neurons expressing GLU receptors 22,192,0.532,95.0,55,2,3.64,2.29 (2.26-2.32),53,96.36,4.10 (3.68-4.52),1.38,3.40
GLU like neurons 17,489,0.105,26.0,42,8,19.05,5.51 (4.63-6.40),34,80.95,6.17 (5.48-6.85),3.52,3.14
da like neurons 11,1220,0.205,58.0,410,17,4.15,3.15 (2.50-3.79),393,95.85,4.31 (4.12-4.51),8.24,7.48
GABA neurons expressing GABA receptors 13,238,0.335,95.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37),1.45,17.67
endothelial cells 9,338,0.129,49.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,250,0.135,26.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300,0.105,10.0,306,27,8.82,3.36 (2.63-4.09),279,91.18,5.34 (5.08-5.61),14.70,5.93
astrocytes 8,47,0.453,77.0,76,1,1.32,4.47 (NA-NA),75,98.68,4.02 (3.71-4.33),5.40,4.60
oligodendrocyte progenitor cells 12,103,0.47,62.0,9,4,44.44,5.41 (5.28-5.54),5,55.56,2.24 (0.06-4.41),1.84,3.64
oligodendrocytes 10,735,0.282,98.0,277,3,1.08,3.95 (2.92-4.98),274,98.92,3.89 (3.65-4.14),2.19,9.02
connective tissue cells 21,106,0.263,39.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768,0.094,56.0,105,22,20.95,1.84 (1.38-2.30),83,79.05,3.59 (3.23-3.96),4.85,3.75
oligodendrocytes 16,91,0.157,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.292,96.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,46,0.604,78.0,73,2,2.74,3.14 (0.54-5.75),71,97.26,4.10 (3.79-4.41),4.34,5.30
astrocytes 4,157,0.354,85.0,178,9,5.06,2.29 (0.59-3.99),169,94.94,4.28 (4.03-4.53),3.79,4.54
oligodendrocytes 0,116,0.33,81.0,169,2,1.18,2.54 (2.25-2.82),167,98.82,4.30 (4.01-4.60),1.39,6.55
microglia 1,214,0.145,35.0,227,3,1.32,4.25 (3.41-5.08),224,98.68,4.09 (3.85-4.33),2.66,6.17
oligodendrocytes 3,32,0.486,65.0,81,3,3.7,3.24 (1.72-4.75),78,96.3,4.08 (3.77-4.38),5.18,7.97
oligodendrocytes 2,99,0.318,69.0,116,1,0.86,3.42 (NA-NA),115,99.14,3.96 (3.66-4.27),3.33,7.27
