tipo_celular,module_size,RIPK2_MM,RIPK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.363,93.0,102,44,43.14,2.65 (2.32-2.99),58,56.86,4.17 (3.64-4.70),3.64,2.57
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.213,79.0,80,4,5.0,3.56 (1.85-5.27),76,95.0,3.39 (2.90-3.89),2.42,5.16
oligodendrocyte progenitor cells 7,666.0,0.213,77.0,127,27,21.26,3.42 (2.87-3.97),100,78.74,4.02 (3.60-4.44),3.63,6.44
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.138,77.0,83,7,8.43,2.61 (1.65-3.56),76,91.57,3.33 (2.84-3.81),2.72,4.63
oligodendrocyte progenitor cells 12,218.0,0.034,6.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.032,12.0,54,4,7.41,2.97 (1.87-4.07),50,92.59,3.75 (3.28-4.21),2.61,3.05
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.346,57.0,120,61,50.83,3.26 (2.86-3.66),59,49.17,4.11 (3.69-4.52),2.98,2.60
astrocytes 4,514.0,0.249,75.0,95,9,9.47,2.64 (1.32-3.96),86,90.53,3.46 (3.02-3.90),3.01,4.81
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.259,76.0,163,35,21.47,4.25 (3.84-4.66),128,78.53,3.54 (3.22-3.86),3.46,5.63
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
