tipo_celular,module_size,ASTN1_MM,ASTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.161,50.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,436.0,0.202,83.0,219,12,5.48,4.56 (3.42-5.69),207,94.52,5.27 (4.97-5.57),8.64,4.38
GABA neurons expressing GLU receptors 22,459.0,0.186,62.0,165,7,4.24,3.88 (2.36-5.39),158,95.76,5.14 (4.79-5.49),4.70,4.06
GLU like neurons 17,489.0,0.167,66.0,42,3,7.14,5.19 (4.84-5.54),39,92.86,6.08 (5.47-6.69),2.86,3.24
da like neurons 11,142.0,0.516,100.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,357.0,0.114,24.0,237,1,0.42,3.38 (NA-NA),236,99.58,4.41 (4.18-4.65),7.86,4.17
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.258,73.0,306,18,5.88,4.20 (3.28-5.13),288,94.12,5.18 (4.90-5.45),11.30,6.42
astrocytes 8,1266.0,0.148,87.0,66,10,15.15,2.23 (0.81-3.64),56,84.85,3.44 (3.05-3.83),3.43,2.87
oligodendrocyte progenitor cells 12,254.0,0.27,46.0,37,5,13.51,3.73 (2.94-4.53),32,86.49,4.64 (3.98-5.31),2.53,2.46
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.157,93.0,105,4,3.81,1.23 (0.25-2.22),101,96.19,3.30 (2.96-3.63),4.57,3.96
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.102,42.0,122,13,10.66,2.46 (1.42-3.49),109,89.34,4.24 (3.84-4.64),3.07,3.53
astrocytes microglia 23,141.0,0.289,70.0,30,4,13.33,4.99 (4.51-5.46),26,86.67,5.81 (4.74-6.89),4.02,4.05
astrocytes 4,752.0,0.169,74.0,96,1,1.04,5.45 (NA-NA),95,98.96,3.26 (2.93-3.59),1.79,4.35
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
