tipo_celular,module_size,UQCRH_MM,UQCRH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.31,96.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393.0,0.128,32.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,328.0,0.115,23.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,296.0,0.174,46.0,251,8,3.19,2.69 (2.34-3.04),243,96.81,4.12 (3.87-4.36),4.13,6.22
GABA neurons expressing GLU receptors 22,487.0,0.282,73.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316.0,0.27,100.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43),2.46,3.07
da like neurons 11,1220.0,0.308,82.0,410,34,8.29,3.33 (2.86-3.79),376,91.71,4.35 (4.15-4.55),18.75,6.50
GABA neurons expressing GABA receptors 13,417.0,0.308,96.0,213,41,19.25,2.72 (2.22-3.23),172,80.75,4.08 (3.83-4.34),18.68,7.54
endothelial cells 9,916.0,0.258,63.0,302,29,9.6,3.39 (2.84-3.94),273,90.4,4.06 (3.82-4.30),22.58,9.39
oligodendrocytes 20,938.0,0.086,30.0,169,24,14.2,3.25 (2.62-3.87),145,85.8,3.52 (3.29-3.76),4.98,5.43
GABA like neurons 14,2402.0,0.684,99.0,455,34,7.47,2.85 (2.25-3.45),421,92.53,4.50 (4.32-4.69),26.26,7.43
astrocytes 8,520.0,0.135,58.0,288,22,7.64,3.36 (2.77-3.96),266,92.36,4.26 (4.05-4.47),5.79,4.59
oligodendrocyte progenitor cells 12,1049.0,0.181,81.0,235,22,9.36,3.68 (3.18-4.18),213,90.64,3.84 (3.59-4.09),9.31,7.44
oligodendrocytes 10,735.0,0.234,94.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13),2.19,8.97
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.203,81.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,96.0,0.216,45.0,102,22,21.57,3.02 (2.37-3.68),80,78.43,3.45 (3.07-3.84),3.37,8.84
da neurons 6,729.0,0.309,96.0,182,8,4.4,3.86 (2.95-4.76),174,95.6,3.62 (3.36-3.89),7.68,8.56
astrocytes microglia 23,122.0,0.219,6.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,1807.0,0.117,10.0,104,6,5.77,1.10 (0.36-1.84),98,94.23,2.98 (2.70-3.26),15.05,4.81
oligodendrocytes 0,546.0,0.099,11.0,252,34,13.49,2.68 (2.11-3.25),218,86.51,4.38 (4.12-4.63),10.84,7.80
microglia 1,406.0,0.15,39.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,457.0,0.158,67.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49),6.65,5.69
oligodendrocytes 2,526.0,0.133,9.0,213,22,10.33,3.75 (3.29-4.20),191,89.67,4.01 (3.71-4.32),12.69,7.39
