tipo_celular,module_size,APH1B_MM,APH1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.237,66.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.119,54.0,136,11,8.09,2.89 (2.24-3.54),125,91.91,3.24 (2.95-3.53),4.99,4.99
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,32,9.07,1.82 (1.40-2.25),321,90.93,4.17 (3.99-4.34),24.20,6.46
GABA neurons expressing GLU receptors 22,1069.0,0.107,12.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316.0,0.094,23.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40),2.47,3.06
da like neurons 11,102.0,0.077,3.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.062,19.0,169,17,10.06,2.77 (2.18-3.35),152,89.94,3.58 (3.35-3.81),5.35,5.36
GABA like neurons 14,2402.0,0.16,28.0,455,37,8.13,2.63 (2.10-3.16),418,91.87,4.56 (4.38-4.74),18.76,7.96
astrocytes 8,603.0,0.039,11.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,3303.0,0.093,67.0,276,27,9.78,2.09 (1.69-2.50),249,90.22,3.76 (3.53-3.98),8.74,4.72
oligodendrocytes 10,2107.0,0.041,3.0,358,35,9.78,1.73 (1.34-2.12),323,90.22,4.18 (4.00-4.37),22.85,8.02
connective tissue cells 21,93.0,0.307,65.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1768.0,0.06,24.0,105,20,19.05,2.12 (1.55-2.69),85,80.95,3.50 (3.12-3.87),4.67,3.82
oligodendrocytes 16,156.0,0.242,79.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,54.0,0.36,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.172,92.0,104,23,22.12,2.20 (1.66-2.74),81,77.88,3.07 (2.76-3.39),8.78,4.44
oligodendrocytes 0,86.0,0.119,24.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,1615.0,0.082,12.0,161,27,16.77,1.67 (1.21-2.14),134,83.23,3.68 (3.42-3.95),9.47,4.62
oligodendrocytes 3,743.0,0.096,68.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,1630.0,0.138,42.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
