tipo_celular,module_size,HAVCR2_MM,HAVCR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.126,7.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,393.0,0.341,91.0,59,4,6.78,5.74 (2.85-8.64),55,93.22,2.89 (2.44-3.35),2.05,5.58
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,229.0,0.212,59.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,168.0,0.126,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.044,18.0,110,9,8.18,2.46 (1.50-3.43),101,91.82,5.32 (4.89-5.76),3.06,3.57
GABA like neurons 14,3052.0,0.049,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.109,33.0,358,51,14.25,1.93 (1.64-2.22),307,85.75,4.32 (4.14-4.50),23.45,7.15
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.086,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.316,88.0,57,3,5.26,2.77 (1.78-3.76),54,94.74,2.64 (2.27-3.02),1.88,3.41
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.099,20.0,238,13,5.46,2.44 (1.95-2.92),225,94.54,3.72 (3.49-3.95),6.13,4.96
microglia 1,480.0,0.111,9.0,163,7,4.29,4.04 (3.55-4.53),156,95.71,3.69 (3.41-3.97),3.05,5.26
oligodendrocytes 3,681.0,0.098,54.0,87,38,43.68,2.02 (1.73-2.31),49,56.32,3.09 (2.70-3.48),4.59,3.97
oligodendrocytes 2,1630.0,0.136,38.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
