tipo_celular,module_size,GUCY1B1_MM,GUCY1B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.2,62.0,251,19,7.57,3.92 (3.85-3.99),232,92.43,4.08 (3.82-4.35),6.21,6.15
GABA neurons expressing GLU receptors 22,848.0,0.351,85.0,262,14,5.34,2.97 (2.09-3.85),248,94.66,4.25 (4.00-4.51),2.92,4.17
GLU like neurons 17,1316.0,0.18,88.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220.0,0.207,59.0,410,25,6.1,3.53 (3.15-3.92),385,93.9,4.31 (4.11-4.51),11.09,7.28
GABA neurons expressing GABA receptors 13,357.0,0.14,37.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,586.0,0.4,80.0,62,4,6.45,3.62 (2.45-4.79),58,93.55,4.07 (3.60-4.54),3.31,4.27
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.396,79.0,455,28,6.15,2.98 (2.45-3.51),427,93.85,4.47 (4.28-4.66),13.60,8.52
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.035,5.0,276,16,5.8,1.75 (1.24-2.26),260,94.2,3.69 (3.47-3.91),10.83,4.76
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.268,82.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,121.0,0.394,92.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
