tipo_celular,module_size,ARL6IP6_MM,ARL6IP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.169,46.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,624.0,0.161,57.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.135,81.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48),1.43,5.01
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,13,3.68,1.34 (0.68-2.00),340,96.32,4.01 (3.83-4.19),33.60,7.09
GABA neurons expressing GLU receptors 22,599.0,0.102,5.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316.0,0.154,75.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.129,52.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88),2.68,5.54
oligodendrocytes 20,253.0,0.273,85.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.16,68.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.042,5.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.047,12.0,276,7,2.54,2.03 (1.05-3.02),269,97.46,3.59 (3.37-3.81),8.66,5.02
oligodendrocytes 10,2107.0,0.15,51.0,358,10,2.79,1.11 (0.28-1.93),348,97.21,3.96 (3.77-4.14),40.13,8.59
connective tissue cells 21,145.0,0.237,18.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768.0,0.094,57.0,105,5,4.76,1.53 (0.94-2.12),100,95.24,3.30 (2.96-3.65),4.49,3.95
oligodendrocytes 16,113.0,0.21,78.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.383,85.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,787.0,0.162,70.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.115,51.0,238,1,0.42,NA,237,99.58,3.64 (3.42-3.86),1.58,5.04
microglia 1,1615.0,0.099,33.0,161,9,5.59,1.11 (0.28-1.93),152,94.41,3.43 (3.17-3.69),17.99,4.69
oligodendrocytes 3,854.0,0.063,18.0,76,1,1.32,4.17 (NA-NA),75,98.68,2.76 (2.43-3.09),1.43,4.76
oligodendrocytes 2,1630.0,0.14,46.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
