tipo_celular,module_size,ZC3H8_MM,ZC3H8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.126,26.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,388.0,0.096,16.0,84,16,19.05,3.68 (3.02-4.34),68,80.95,2.80 (2.43-3.16),2.26,4.81
astrocytes 5,1656.0,0.102,28.0,136,8,5.88,2.11 (0.93-3.28),128,94.12,3.28 (3.00-3.55),6.06,4.92
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,60,17.0,2.11 (1.82-2.39),293,83.0,4.36 (4.19-4.54),20.19,5.58
GABA neurons expressing GLU receptors 22,1069.0,0.167,52.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316.0,0.145,68.0,101,1,0.99,5.64 (NA-NA),100,99.01,3.02 (2.67-3.37),3.54,3.05
da like neurons 11,120.0,0.153,22.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.043,16.0,110,11,10.0,2.49 (1.64-3.34),99,90.0,5.36 (4.93-5.79),2.77,3.61
GABA like neurons 14,3052.0,0.168,74.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.98,8.67
astrocytes 8,603.0,0.056,31.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,3303.0,0.065,33.0,276,47,17.03,2.02 (1.80-2.24),229,82.97,3.98 (3.75-4.21),9.44,4.22
oligodendrocytes 10,2107.0,0.08,17.0,358,72,20.11,2.18 (1.91-2.45),286,79.89,4.46 (4.28-4.64),23.61,5.91
connective tissue cells 21,111.0,0.289,51.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1768.0,0.071,34.0,105,21,20.0,1.58 (1.23-1.93),84,80.0,3.64 (3.28-3.99),7.20,3.17
oligodendrocytes 16,107.0,0.308,95.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.241,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.148,57.0,104,27,25.96,1.64 (1.32-1.97),77,74.04,3.31 (3.01-3.62),10.85,3.49
oligodendrocytes 0,2078.0,0.124,70.0,238,17,7.14,2.71 (2.15-3.27),221,92.86,3.72 (3.48-3.95),5.26,5.00
microglia 1,813.0,0.12,55.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,681.0,0.063,18.0,87,55,63.22,2.31 (2.03-2.58),32,36.78,3.16 (2.60-3.71),4.97,3.00
oligodendrocytes 2,1630.0,0.117,10.0,154,3,1.95,4.18 (1.31-7.05),151,98.05,3.23 (2.96-3.50),1.98,3.62
