tipo_celular,module_size,ATP2B2_MM,ATP2B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,118.0,0.234,64.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,200.0,0.132,29.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,459.0,0.184,61.0,165,35,21.21,3.98 (3.29-4.66),130,78.79,5.37 (4.99-5.75),5.51,3.71
GLU like neurons 17,1247.0,0.194,82.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,289.0,0.295,88.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,266.0,0.235,83.0,118,4,3.39,3.50 (2.96-4.03),114,96.61,4.79 (4.43-5.16),2.97,4.03
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.176,65.0,74,1,1.35,3.22 (NA-NA),73,98.65,2.94 (2.56-3.32),1.70,10.62
astrocytes 8,279.0,0.197,20.0,78,15,19.23,4.07 (2.78-5.36),63,80.77,4.36 (3.92-4.79),3.57,2.50
oligodendrocyte progenitor cells 12,3303.0,0.129,94.0,276,17,6.16,2.48 (1.98-2.98),259,93.84,3.64 (3.41-3.86),4.70,5.14
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.33,68.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.179,90.0,122,35,28.69,3.05 (2.42-3.67),87,71.31,4.44 (3.97-4.90),2.91,3.71
astrocytes microglia 23,190.0,0.264,49.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,251.0,0.119,14.0,34,3,8.82,4.54 (2.59-6.50),31,91.18,5.34 (4.69-6.00),1.67,3.21
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
