tipo_celular,module_size,ERCC4_MM,ERCC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.115,49.0,136,3,2.21,2.65 (0.18-5.12),133,97.79,3.22 (2.95-3.49),5.27,4.98
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,53,15.01,2.31 (1.93-2.68),300,84.99,4.26 (4.08-4.45),21.46,5.70
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,215.0,0.098,12.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,295.0,0.237,69.0,28,2,7.14,2.85 (0.06-5.64),26,92.86,2.14 (1.67-2.60),2.00,3.15
GABA like neurons 14,3052.0,0.099,17.0,125,3,2.4,3.81 (2.47-5.14),122,97.6,3.34 (3.01-3.67),3.34,8.74
astrocytes 8,603.0,0.016,1.0,89,6,6.74,1.39 (0.80-1.98),83,93.26,2.90 (2.53-3.26),5.87,6.06
oligodendrocyte progenitor cells 12,708.0,0.041,9.0,32,9,28.12,1.21 (0.56-1.85),23,71.88,4.21 (3.35-5.07),3.58,2.21
oligodendrocytes 10,1277.0,0.035,5.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,139.0,0.399,96.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,418.0,0.02,2.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,74.0,0.21,62.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.383,89.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,1807.0,0.145,52.0,104,22,21.15,1.79 (1.31-2.26),82,78.85,3.18 (2.88-3.48),12.40,3.52
oligodendrocytes 0,2078.0,0.096,15.0,238,11,4.62,3.01 (2.16-3.86),227,95.38,3.67 (3.45-3.90),6.49,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.05,6.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,1630.0,0.145,56.0,154,2,1.3,3.29 (3.15-3.42),152,98.7,3.24 (2.97-3.51),2.95,3.60
