tipo_celular,module_size,PIK3R4_MM,PIK3R4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.154,53.0,98,44,44.9,2.84 (2.36-3.32),54,55.1,3.40 (3.00-3.79),4.50,3.66
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,73,20.68,3.17 (2.77-3.58),280,79.32,4.15 (3.95-4.34),15.91,6.02
GABA neurons expressing GLU receptors 22,400.0,0.144,19.0,24,19,79.17,2.15 (1.51-2.80),5,20.83,2.17 (1.98-2.36),3.85,2.57
GLU like neurons 17,1316.0,0.16,78.0,101,10,9.9,4.47 (3.44-5.50),91,90.1,2.87 (2.52-3.23),3.14,3.04
da like neurons 11,289.0,0.127,24.0,6,1,16.67,NA,5,83.33,2.89 (2.54-3.24),1.44,2.30
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.072,8.0,297,6,2.02,3.34 (2.72-3.97),291,97.98,3.68 (3.47-3.89),6.21,5.50
oligodendrocytes 20,330.0,0.328,90.0,36,4,11.11,1.97 (0.72-3.22),32,88.89,1.92 (1.55-2.28),4.55,2.95
GABA like neurons 14,3052.0,0.194,89.0,125,7,5.6,4.60 (3.70-5.50),118,94.4,3.26 (2.92-3.59),4.16,8.88
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.111,84.0,276,60,21.74,3.37 (2.96-3.78),216,78.26,3.61 (3.35-3.87),8.43,4.19
oligodendrocytes 10,2107.0,0.059,8.0,358,68,18.99,2.92 (2.51-3.32),290,81.01,4.18 (3.98-4.38),15.38,8.09
connective tissue cells 21,86.0,0.26,40.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95),NA,1.48
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.107,5.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.316,45.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.102,26.0,238,21,8.82,3.88 (3.15-4.61),217,91.18,3.61 (3.38-3.84),7.39,4.79
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.082,41.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05),2.82,4.94
oligodendrocytes 2,1630.0,0.14,46.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
