tipo_celular,module_size,LANCL2_MM,LANCL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.107,36.0,136,5,3.68,1.51 (1.20-1.83),131,96.32,3.28 (3.01-3.56),7.68,4.89
oligodendrocyte progenitor cells 7,666.0,0.177,58.0,127,16,12.6,2.81 (2.02-3.59),111,87.4,4.07 (3.71-4.42),3.92,6.12
GABA neurons expressing GLU receptors 22,400.0,0.168,30.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11),6.35,2.44
GLU like neurons 17,489.0,0.104,25.0,42,1,2.38,7.00 (NA-NA),41,97.62,5.96 (5.38-6.53),1.86,3.25
da like neurons 11,109.0,0.123,17.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.22,82.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,3052.0,0.132,43.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.062,20.0,48,2,4.17,3.14 (-1.47-7.76),46,95.83,4.50 (3.73-5.27),1.78,3.20
oligodendrocyte progenitor cells 12,708.0,0.109,50.0,32,9,28.12,1.56 (0.66-2.45),23,71.88,4.05 (3.12-4.97),3.38,2.29
oligodendrocytes 10,1277.0,0.069,23.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.042,10.0,96,8,8.33,2.98 (1.64-4.31),88,91.67,3.68 (3.21-4.16),4.87,3.70
oligodendrocytes 16,75.0,0.256,84.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,448.0,0.084,28.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,67.0,0.408,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.12,12.0,104,22,21.15,1.61 (1.26-1.96),82,78.85,3.23 (2.93-3.54),11.48,3.76
oligodendrocytes 0,479.0,0.131,33.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.144,79.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804.0,0.218,97.0,84,4,4.76,1.57 (-0.24-3.38),80,95.24,2.76 (2.42-3.09),2.91,3.42
