tipo_celular,module_size,CLPB_MM,CLPB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.184,71.0,35,9,25.71,4.22 (3.56-4.88),26,74.29,3.53 (2.19-4.88),3.22,2.76
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,322.0,0.069,2.0,58,11,18.97,2.69 (2.13-3.24),47,81.03,4.60 (4.17-5.04),2.22,2.34
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,16,4.53,1.37 (0.90-1.84),337,95.47,4.05 (3.87-4.23),37.68,6.66
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.04,3.0,135,13,9.63,2.02 (1.32-2.71),122,90.37,3.29 (2.97-3.61),2.70,3.86
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,-0.003,,110,6,5.45,1.98 (0.85-3.12),104,94.55,5.24 (4.81-5.67),3.13,3.55
GABA like neurons 14,3052.0,0.093,14.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.036,4.0,66,10,15.15,1.09 (0.56-1.63),56,84.85,3.68 (3.29-4.07),3.91,2.78
oligodendrocyte progenitor cells 12,3303.0,0.048,14.0,276,12,4.35,2.05 (1.52-2.58),264,95.65,3.63 (3.41-3.85),12.35,4.78
oligodendrocytes 10,2107.0,0.055,7.0,358,20,5.59,1.69 (0.95-2.42),338,94.41,4.04 (3.85-4.22),29.37,8.30
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.067,30.0,105,10,9.52,1.86 (1.28-2.44),95,90.48,3.35 (3.00-3.70),8.00,3.56
oligodendrocytes 16,156.0,0.227,71.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,114.0,0.3,44.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.124,16.0,104,9,8.65,1.72 (1.07-2.37),95,91.35,2.98 (2.69-3.27),14.50,4.53
oligodendrocytes 0,2078.0,0.105,31.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,958.0,0.097,28.0,290,10,3.45,1.74 (1.10-2.39),280,96.55,3.88 (3.65-4.11),3.72,5.05
oligodendrocytes 3,681.0,0.075,31.0,87,9,10.34,2.08 (1.06-3.10),78,89.66,2.65 (2.37-2.92),6.97,3.93
oligodendrocytes 2,1630.0,0.17,94.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
