tipo_celular,module_size,ZFP36L1_MM,ZFP36L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.246,55.0,140,33,23.57,3.85 (3.41-4.29),107,76.43,4.79 (4.46-5.13),4.79,3.16
T cells 18,393.0,0.164,58.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,328.0,0.107,19.0,128,6,4.69,4.30 (4.05-4.56),122,95.31,3.52 (3.16-3.88),2.88,6.95
oligodendrocyte progenitor cells 7,628.0,0.119,17.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,795.0,0.063,6.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.226,70.0,155,3,1.94,4.15 (3.54-4.76),152,98.06,4.34 (3.97-4.72),2.38,4.37
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.169,85.0,89,12,13.48,1.62 (1.19-2.05),77,86.52,2.99 (2.61-3.38),5.25,6.17
oligodendrocyte progenitor cells 12,3303.0,0.048,14.0,276,52,18.84,2.35 (2.00-2.70),224,81.16,3.91 (3.68-4.15),7.00,4.67
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,57.0,0.27,42.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,1768.0,0.087,50.0,105,34,32.38,2.82 (2.21-3.44),71,67.62,3.40 (3.01-3.79),4.85,3.56
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.212,25.0,47,9,19.15,2.58 (1.89-3.27),38,80.85,2.91 (2.53-3.28),1.91,3.36
astrocytes 4,208.0,0.191,47.0,173,15,8.67,5.02 (4.15-5.89),158,91.33,3.62 (3.31-3.92),3.06,5.86
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.187,58.0,144,28,19.44,3.96 (3.55-4.36),116,80.56,4.60 (4.23-4.97),3.17,4.45
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
