tipo_celular,module_size,BTD_MM,BTD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,14,3.97,1.32 (0.78-1.85),339,96.03,4.03 (3.85-4.21),43.34,6.61
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.299,91.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.054,20.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06),15.12,7.38
oligodendrocytes 10,1277.0,0.061,18.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.243,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,107.0,0.388,87.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA,2.49,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.094,13.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88),9.97,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.064,19.0,87,6,6.9,1.46 (0.73-2.20),81,93.1,2.67 (2.40-2.95),9.17,3.88
oligodendrocytes 2,1630.0,0.147,61.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
