tipo_celular,module_size,ADCYAP1R1_MM,ADCYAP1R1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.153,51.0,28,4,14.29,2.60 (2.25-2.95),24,85.71,5.82 (5.42-6.23),2.03,2.48
oligodendrocyte progenitor cells 7,4285.0,0.127,37.0,353,9,2.55,0.62 (0.28-0.97),344,97.45,4.00 (3.82-4.18),47.80,7.02
GABA neurons expressing GLU receptors 22,599.0,0.18,33.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,795.0,0.101,30.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,140.0,0.098,8.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,357.0,0.12,27.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.053,2.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.117,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,5,1.81,1.04 (0.57-1.51),271,98.19,3.60 (3.39-3.82),8.84,5.04
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.073,36.0,105,4,3.81,0.87 (0.13-1.61),101,96.19,3.31 (2.98-3.65),7.30,3.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.107,48.0,122,7,5.74,0.81 (0.36-1.26),115,94.26,4.25 (3.87-4.62),3.87,3.46
astrocytes microglia 23,125.0,0.349,70.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,251.0,0.187,66.0,34,3,8.82,3.12 (1.75-4.49),31,91.18,5.54 (4.96-6.12),2.97,3.08
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
