tipo_celular,module_size,RALGDS_MM,RALGDS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.198,82.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,322.0,0.198,62.0,58,7,12.07,3.15 (1.40-4.89),51,87.93,4.32 (3.91-4.73),2.24,2.33
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,13,3.68,1.60 (0.61-2.59),340,96.32,4.00 (3.82-4.18),38.24,6.91
GABA neurons expressing GLU receptors 22,400.0,0.2,52.0,24,7,29.17,0.94 (0.08-1.80),17,70.83,2.66 (2.20-3.11),6.35,2.44
GLU like neurons 17,637.0,0.17,55.0,91,12,13.19,1.89 (0.79-2.98),79,86.81,5.11 (4.64-5.58),3.08,3.06
da like neurons 11,408.0,0.13,35.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04),2.09,2.32
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.147,28.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,358.0,0.137,43.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090.0,0.154,50.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,603.0,0.16,84.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,708.0,0.17,69.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69),4.20,2.23
oligodendrocytes 10,1277.0,0.138,68.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.147,89.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,81.0,0.27,84.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,46.0,0.252,43.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38),NA,5.27
astrocytes 4,721.0,0.133,17.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.181,80.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.071,26.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,528.0,0.203,51.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
