tipo_celular,module_size,HLA-DRB5_MM,HLA-DRB5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.245,71.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.42,94.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.309,69.0,278,39,14.03,5.02 (4.58-5.47),239,85.97,4.28 (3.98-4.58),4.71,7.07
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
