tipo_celular,module_size,TBC1D4_MM,TBC1D4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.353,95.0,32,6,18.75,4.37 (3.53-5.20),26,81.25,3.54 (2.57-4.50),6.57,2.93
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,10,2.83,2.27 (1.10-3.43),343,97.17,3.95 (3.77-4.14),21.03,7.69
GABA neurons expressing GLU receptors 22,823.0,0.294,94.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.125,51.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,71.0,0.183,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266.0,0.195,67.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,658.0,0.516,99.0,120,12,10.0,3.79 (3.05-4.52),108,90.0,4.71 (4.37-5.05),3.48,3.67
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.261,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.084,57.0,276,6,2.17,1.93 (1.31-2.54),270,97.83,3.59 (3.37-3.81),8.98,5.02
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.193,14.0,99,4,4.04,4.99 (4.65-5.33),95,95.96,4.26 (3.92-4.61),5.29,3.15
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.207,100.0,161,12,7.45,2.82 (1.70-3.94),149,92.55,3.32 (3.04-3.59),7.56,5.26
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
