tipo_celular,module_size,CIT_MM,CIT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.143,46.0,80,2,2.5,2.41 (-0.28-5.09),78,97.5,3.43 (2.95-3.91),3.17,5.07
oligodendrocyte progenitor cells 7,666.0,0.188,65.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48),4.34,6.02
GABA neurons expressing GLU receptors 22,1069.0,0.163,49.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,265.0,0.291,84.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,77.0,0.256,98.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.247,68.0,306,36,11.76,3.06 (2.64-3.47),270,88.24,5.51 (5.24-5.78),8.67,6.44
astrocytes 8,577.0,0.146,79.0,83,3,3.61,1.70 (0.08-3.32),80,96.39,3.30 (2.84-3.75),2.97,4.53
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,12,4.35,2.76 (1.94-3.58),264,95.65,3.59 (3.36-3.81),7.24,5.01
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.206,83.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,92.0,0.27,22.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,514.0,0.209,63.0,95,7,7.37,1.16 (0.64-1.68),88,92.63,3.50 (3.07-3.92),2.92,4.78
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
