tipo_celular,module_size,PREX1_MM,PREX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.194,42.0,140,14,10.0,3.30 (2.55-4.05),126,90.0,4.69 (4.40-4.99),5.89,3.28
T cells 18,388.0,0.205,74.0,84,3,3.57,3.65 (3.57-3.74),81,96.43,2.96 (2.62-3.29),2.01,4.41
astrocytes 5,322.0,0.093,8.0,58,11,18.97,3.18 (2.16-4.21),47,81.03,4.43 (3.99-4.86),2.24,2.34
oligodendrocyte progenitor cells 7,448.0,0.133,45.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,567.0,0.158,35.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74),1.65,3.92
GLU like neurons 17,637.0,0.342,87.0,91,16,17.58,3.18 (2.22-4.15),75,82.42,4.96 (4.39-5.53),3.54,2.96
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.198,46.0,74,3,4.05,3.88 (1.74-6.02),71,95.95,5.57 (5.00-6.13),3.39,3.65
oligodendrocytes 20,676.0,0.262,49.0,110,9,8.18,3.15 (1.69-4.60),101,91.82,5.23 (4.79-5.67),4.05,3.48
GABA like neurons 14,3052.0,0.027,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.22,69.0,48,4,8.33,4.47 (2.05-6.88),44,91.67,4.43 (3.62-5.23),1.75,3.27
oligodendrocyte progenitor cells 12,143.0,0.394,28.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,236.0,0.289,9.0,82,8,9.76,4.32 (3.44-5.21),74,90.24,5.09 (4.51-5.67),3.05,3.92
connective tissue cells 21,250.0,0.346,62.0,117,14,11.97,3.42 (2.56-4.28),103,88.03,5.72 (5.33-6.12),3.23,3.81
astrocytes 15,1401.0,0.129,82.0,96,7,7.29,4.59 (3.50-5.67),89,92.71,3.52 (3.04-3.99),3.66,3.81
oligodendrocytes 16,287.0,0.408,79.0,105,14,13.33,3.27 (2.24-4.31),91,86.67,5.53 (5.10-5.95),3.87,3.41
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.336,64.0,99,7,7.07,5.10 (3.96-6.24),92,92.93,4.23 (3.88-4.58),3.92,3.19
astrocytes 4,201.0,0.139,23.0,18,17,94.44,4.29 (3.50-5.08),1,5.56,8.28 (NA-NA),3.19,1.50
oligodendrocytes 0,261.0,0.188,51.0,42,9,21.43,3.09 (1.62-4.57),33,78.57,4.44 (3.71-5.18),2.57,2.19
microglia 1,315.0,0.249,80.0,144,12,8.33,5.39 (3.98-6.80),132,91.67,4.37 (4.07-4.68),3.88,4.24
oligodendrocytes 3,127.0,0.276,58.0,45,3,6.67,1.95 (0.80-3.10),42,93.33,4.62 (3.75-5.50),1.90,6.21
oligodendrocytes 2,348.0,0.176,41.0,114,16,14.04,5.01 (4.08-5.93),98,85.96,5.14 (4.68-5.60),3.06,4.61
