tipo_celular,module_size,GNB2_MM,GNB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.157,53.0,71,3,4.23,1.90 (-0.13-3.93),68,95.77,2.66 (2.24-3.08),4.16,3.55
T cells 18,393.0,0.134,37.0,59,4,6.78,3.74 (3.16-4.31),55,93.22,3.05 (2.52-3.59),3.52,5.48
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.136,29.0,164,11,6.71,3.78 (3.19-4.38),153,93.29,4.11 (3.76-4.47),4.39,7.75
GABA neurons expressing GLU receptors 22,703.0,0.221,71.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.184,51.0,410,30,7.32,2.90 (2.33-3.47),380,92.68,4.34 (4.14-4.53),14.05,7.00
GABA neurons expressing GABA receptors 13,417.0,0.101,9.0,213,28,13.15,2.43 (1.70-3.16),185,86.85,3.96 (3.72-4.21),8.53,9.86
endothelial cells 9,916.0,0.214,53.0,302,10,3.31,2.93 (1.79-4.07),292,96.69,4.02 (3.79-4.25),10.52,10.66
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.351,74.0,455,33,7.25,2.53 (1.81-3.24),422,92.75,4.47 (4.29-4.66),21.77,7.82
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.123,65.0,235,14,5.96,3.70 (3.15-4.26),221,94.04,3.83 (3.59-4.07),9.12,7.52
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,301.0,0.323,35.0,158,5,3.16,2.69 (1.07-4.30),153,96.84,4.33 (3.96-4.70),5.81,7.11
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.067,4.0,159,7,4.4,3.99 (3.84-4.14),152,95.6,4.38 (4.06-4.70),4.07,3.71
astrocytes microglia 23,122.0,0.424,95.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,406.0,0.137,31.0,278,3,1.08,4.13 (2.61-5.65),275,98.92,4.37 (4.09-4.64),3.78,6.77
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
