tipo_celular,module_size,HDAC3_MM,HDAC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.083,5.0,102,58,56.86,2.99 (2.66-3.33),44,43.14,4.22 (3.53-4.90),3.41,2.54
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.115,49.0,136,7,5.15,2.31 (1.42-3.20),129,94.85,3.26 (2.98-3.54),6.16,4.92
oligodendrocyte progenitor cells 7,4285.0,0.165,90.0,353,107,30.31,2.71 (2.47-2.94),246,69.69,4.60 (4.41-4.80),16.11,4.57
GABA neurons expressing GLU receptors 22,714.0,0.12,14.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,300.0,0.2,63.0,16,7,43.75,2.78 (1.77-3.79),9,56.25,1.39 (0.16-2.61),1.98,2.85
da like neurons 11,108.0,0.134,23.0,5,1,20.0,5.16 (NA-NA),4,80.0,3.78 (3.78-3.78),2.32,3.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.086,30.0,169,25,14.79,3.49 (2.83-4.15),144,85.21,3.48 (3.25-3.71),3.38,5.71
GABA like neurons 14,3052.0,0.191,88.0,125,7,5.6,3.89 (3.38-4.39),118,94.4,3.31 (2.97-3.66),3.21,8.93
astrocytes 8,727.0,0.061,19.0,29,3,10.34,3.23 (1.84-4.63),26,89.66,2.25 (1.73-2.77),2.87,3.63
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,87,31.52,2.72 (2.47-2.96),189,68.48,4.08 (3.79-4.37),9.23,3.22
oligodendrocytes 10,2107.0,0.039,3.0,358,127,35.47,2.81 (2.57-3.04),231,64.53,4.70 (4.49-4.91),17.44,5.09
connective tissue cells 21,111.0,0.336,80.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401.0,0.055,21.0,96,18,18.75,3.32 (2.53-4.11),78,81.25,3.69 (3.16-4.21),3.68,3.82
oligodendrocytes 16,116.0,0.176,34.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.272,25.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.151,62.0,104,38,36.54,2.27 (1.89-2.65),66,63.46,3.25 (2.89-3.61),9.17,3.23
oligodendrocytes 0,2078.0,0.108,37.0,238,42,17.65,3.30 (2.95-3.66),196,82.35,3.71 (3.46-3.97),5.75,4.87
microglia 1,958.0,0.093,22.0,290,59,20.34,3.68 (3.23-4.14),231,79.66,3.85 (3.59-4.11),4.76,5.06
oligodendrocytes 3,1003.0,0.071,22.0,111,3,2.7,4.84 (2.02-7.67),108,97.3,3.26 (2.91-3.60),1.65,4.30
oligodendrocytes 2,1630.0,0.152,70.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52),1.39,3.62
