tipo_celular,module_size,MYL6_MM,MYL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.152,36.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,393.0,0.256,83.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,328.0,0.144,37.0,128,1,0.78,2.97 (NA-NA),127,99.22,3.57 (3.23-3.92),16.23,6.69
oligodendrocyte progenitor cells 7,448.0,0.164,69.0,108,1,0.93,2.97 (NA-NA),107,99.07,3.26 (2.81-3.70),19.00,17.10
GABA neurons expressing GLU receptors 22,487.0,0.351,86.0,73,3,4.11,2.04 (1.12-2.95),70,95.89,2.79 (2.39-3.19),4.65,7.44
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.254,72.0,410,10,2.44,2.62 (1.35-3.89),400,97.56,4.28 (4.09-4.47),22.75,7.13
GABA neurons expressing GABA receptors 13,417.0,0.261,93.0,213,17,7.98,1.59 (0.78-2.41),196,92.02,3.94 (3.70-4.18),11.28,9.55
endothelial cells 9,916.0,0.535,94.0,302,6,1.99,2.64 (1.38-3.91),296,98.01,4.02 (3.79-4.25),12.81,10.61
oligodendrocytes 20,348.0,0.229,80.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2402.0,0.59,95.0,455,15,3.3,1.66 (0.72-2.59),440,96.7,4.43 (4.25-4.62),33.38,8.00
astrocytes 8,603.0,0.156,83.0,89,1,1.12,2.97 (NA-NA),88,98.88,2.76 (2.40-3.11),11.66,5.98
oligodendrocyte progenitor cells 12,1049.0,0.212,86.0,235,9,3.83,3.13 (2.12-4.15),226,96.17,3.84 (3.61-4.08),13.98,7.36
oligodendrocytes 10,483.0,0.208,72.0,129,3,2.33,3.73 (2.96-4.50),126,97.67,3.42 (3.02-3.82),16.18,19.26
connective tissue cells 21,301.0,0.404,57.0,158,3,1.9,1.44 (-0.07-2.94),155,98.1,4.33 (3.97-4.70),23.49,6.75
astrocytes 15,1401.0,0.047,14.0,96,5,5.21,3.97 (1.87-6.06),91,94.79,3.59 (3.13-4.05),7.15,3.61
oligodendrocytes 16,96.0,0.186,28.0,102,14,13.73,2.09 (1.23-2.95),88,86.27,3.51 (3.17-3.86),6.73,7.81
da neurons 6,729.0,0.26,90.0,182,3,1.65,2.04 (1.12-2.95),179,98.35,3.67 (3.42-3.92),11.23,8.48
astrocytes microglia 23,116.0,0.3,34.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,514.0,0.117,8.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,546.0,0.175,53.0,252,18,7.14,1.79 (1.01-2.56),234,92.86,4.27 (4.03-4.52),24.02,6.99
microglia 1,406.0,0.245,61.0,278,1,0.36,2.97 (NA-NA),277,99.64,4.37 (4.10-4.64),36.10,6.63
oligodendrocytes 3,303.0,0.167,62.0,154,1,0.65,2.97 (NA-NA),153,99.35,3.62 (3.31-3.94),41.40,11.65
oligodendrocytes 2,526.0,0.335,72.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26),31.00,7.83
